,topology_carcinoma_10_clean.csv,topology_dysplasia_18_clean.csv,topology_ad_carcinoma_2_clean.csv,topology_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_dysplasia_5_clean.csv,topology_ad_carcinoma_3_clean.csv,topology_dysplasia_14_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_dysplasia_13_clean.csv,topology_dysplasia_17_clean.csv,topology_carcinoma_8_clean.csv,topology_dysplasia_10_clean.csv,topology_carcinoma_20_clean.csv,topology_dysplasia_11_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_carcinoma_13_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_carcinoma_4_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_dysplasia_8_clean.csv,topology_dysplasia_7_clean.csv,topology_carcinoma_17_clean.csv,topology_dysplasia_19_clean.csv,topology_carcinoma_5_clean.csv,topology_dysplasia_8_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_ad_carcinoma_11_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_dysplasia_12_clean.csv,topology_ad_dysplasia_1_clean.csv,topology_dysplasia_1_clean.csv,topology_ad_dysplasia_3_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_dysplasia_16_clean.csv,topology_dysplasia_15_clean.csv,topology_dysplasia_4_clean.csv,topology_ad_dysplasia_2_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv,topology_ad_dysplasia_6_clean.csv,topology_ad_dysplasia_9_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_ad_dysplasia_4_clean.csv,topology_dysplasia_6_clean.csv,topology_ad_dysplasia_10_clean.csv,topology_ad_dysplasia_5_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_carcinoma_10_clean.csv,4.098931581012435e-309,15.09259574833596,18.03425107164267,18.977089008702016,12.444684919535412,15.424210882232131,9.331239984152376,9.92434103524144,16.040643852273654,16.659102249330346,17.82842847487062,15.38227881241005,16.72672963163338,7.265641591286659,18.218390699381526,15.61755615825661,25.032020490819775,17.146633729792388,12.13991251312277,15.799413443497116,19.45457378192443,19.178713568227927,14.525766056502185,18.821997177153186,20.759961772047426,18.798489793985613,13.321877923275592,6.129252222617317,19.256231711779876,17.129773384557403,14.896222555869604,11.890860911484818,13.043585752358396,16.634506087064114,12.757217844279758,12.347060187614439,9.166478911990545,8.088708121759927,15.015818725078958,16.415125088221416,16.214671154534805,14.099727155719957,23.19809371209973,22.90700895165959,21.888075912499346,22.459846033133065,15.76877640627646,18.019457963122505,10.91158820756716,17.919588891659657,15.936395360212131,19.687665272336595,36.335222989533875,15.811746790838193,11.55497326701602,18.597655938956287,18.471112981619342,12.791434653209178
topology_dysplasia_18_clean.csv,15.09259574833596,9.159353448503834e-309,9.44248946941537,14.284590799982745,9.891870095137588,10.144753703710396,13.882937239120633,20.491620811372346,9.9947094575197,9.950255812151424,12.575537697895971,12.271653962304052,27.354432116544338,13.857579796872592,13.21509258065338,13.409020012246707,10.22294319117828,13.430467927054824,9.076812269891043,8.8043305154326,14.432153090734936,24.284708458448208,11.720252475251279,15.794308058103594,13.3992956455693,13.066762537877825,12.375473191783858,14.60752694141061,13.261165904377023,13.992834737069531,15.610105865543542,13.178970210325225,15.396351393778438,14.19362058060796,15.265147451038619,13.016300792952334,16.287991420927874,14.518498814280115,7.491616821258754,9.326022686961213,11.809540723919103,10.549457138730322,38.00717101174122,9.13229108495166,9.514195023492235,13.622572984330347,18.486547345719153,14.564099079081249,13.474049871725384,13.47969233737075,6.603518915500626,13.356960062377883,42.69436576767942,10.285952861248033,10.91701406714795,13.215298680307725,13.820541029066632,13.986839236740186
topology_ad_carcinoma_2_clean.csv,18.03425107164267,9.44248946941537,1.470579555599585e-308,10.768298292696603,6.551910384876672,6.670587877589254,10.245461806891733,23.716794583373527,8.782239448619995,6.717497866897496,6.440869942269309,6.5636067856612215,30.57960588854551,10.768609480356012,9.63632443687303,7.941268060500903,7.810866243637477,8.324044216755631,8.147154953578223,7.244323989952058,10.037588228555968,25.892501078250362,9.56024941754677,13.613132574895008,9.782899620041357,7.298309460882187,12.50271493812047,16.474539289215695,9.466652219309465,9.087930252959215,12.151645998000323,16.404143982326403,11.857853563095018,9.636810298824388,11.650316236263322,8.529275857729631,19.513165192929048,10.844352098211544,9.022042046635622,9.057632091515778,10.725721366467928,8.517515689680472,41.232344783742406,7.944776987745712,12.141695291869615,11.46256992662584,21.711721117720327,13.810964705801737,9.448238892774107,10.594229143315875,9.304834704239216,9.972915415250686,45.9195395396806,10.855728516652228,7.603465882294941,8.676253913390614,10.142071872844307,10.256568530213613
topology_carcinoma_2_clean.csv,18.977089008702016,14.284590799982745,10.768298292696603,8.895966280472427e-309,8.799876980048566,8.339306050795582,11.188299743951077,24.65963252043287,13.704058162228216,8.689877914560022,10.728429450670982,11.611470199369355,31.52244382560486,11.711447417415357,6.716793428335377,10.616350651671834,9.802493136904431,9.213761603724617,10.589061767462265,12.717036758758777,7.2266418820632445,27.08224926809868,10.149280502642561,17.282121543858118,4.797363672731347,10.24159774516556,14.233490399969895,17.41737722627504,7.58469079067322,9.493300568911044,7.2266418820632445,17.346981919385748,9.350310376369507,7.115993929506098,6.2198711644222575,11.489586197774818,20.456003129988396,10.888380886942087,14.165873467310425,15.02288147940002,15.303070898789464,13.39389456356407,42.17518272080175,12.990012940023384,11.717338226173798,13.884586594468432,22.654559054779675,16.725911887656647,10.752956825403418,6.997500137638745,14.651959810210545,7.060244155540974,46.862377476739944,14.677818608894153,11.415581731415536,7.21888376163284,6.824805520288031,6.1856543554928365
topology_ad_carcinoma_10_clean.csv,12.444684919535412,9.891870095137588,6.551910384876672,8.799876980048566,1.0091560246706347e-308,6.895430457136769,8.230482038505684,18.127228431266268,9.243700538360564,6.481509540082648,6.710613461061048,7.378828588132635,24.990039736438256,9.770531703984465,7.058952163305731,7.202521259231459,12.587335571284363,7.5963746078612395,6.018222226455473,7.859613427031331,9.286544793164932,25.51487883976185,12.390212268752308,13.411603143729991,8.315276852512014,6.364271128241896,13.066849254380108,10.884973137108439,6.811546792244464,8.327885213875458,11.242862132109297,15.166144077241098,11.024749778249852,8.904439462888025,10.5826880595346,8.423174473240607,15.59961843751529,9.187631629442073,9.494826290201395,9.333124902688297,11.005855827565977,8.989326325793572,35.642778631635146,10.462324032124178,9.443390992963932,14.292532777831376,16.12215496561307,12.498756410356958,7.182316197498284,8.384726862765028,9.795098804664914,7.354637903550387,43.51989438600777,10.955912654749062,7.089108927162272,7.144186377291714,7.845103376902351,8.162271947031387
topology_ad_carcinoma_9_clean.csv,15.424210882232131,10.144753703710396,6.670587877589254,8.339306050795582,6.895430457136769,1.2252391302288676e-308,7.635421617481192,21.106754393962987,9.471744097805951,5.294807589732788,6.835401446129229,7.538026522190867,27.969565699134975,8.158569290945472,6.789389582763241,6.724325827326305,11.012816637578723,6.900578555165921,8.985051367503452,8.145695846014153,8.628742256025507,23.28246088883982,12.433178362032088,13.816544315868846,7.97160528993502,6.508207550486938,9.89267474870993,13.864499099805158,6.552042488966086,7.639751554507764,10.744137772727992,13.79410379291586,10.382516261703074,8.188043500995331,10.177913235423716,7.777949243508793,16.90312500351851,8.682008152183498,9.719455366988225,9.596005730596632,11.406627127179593,9.198798338616626,38.622304594331865,8.644200395523551,14.681288096402744,13.547639609805863,19.10168092830979,12.79431349190163,6.846646669791625,7.887091249098386,10.036891754017185,6.807248757438874,43.30949935027006,12.627696804982392,7.277104399704213,6.420898631900769,7.4917751199507,7.695035755089741
topology_dysplasia_5_clean.csv,9.331239984152376,13.882937239120633,10.245461806891733,11.188299743951077,8.230482038505684,7.635421617481192,8.35037331714656e-309,13.471332776481793,13.171835052649284,8.870312984579405,10.039639210119681,10.285237890808823,20.334144081653783,8.636584624959372,10.429601434630591,8.749297518977944,17.243231226068836,9.35784446504145,10.172174700105067,11.667631392530556,11.66578451717349,20.96259643069738,12.74188319403273,17.791290779205852,12.971172507296487,11.009700529234678,12.030761767056214,9.174664144776042,11.467442447028937,9.340984119806464,9.360043875250863,10.30122076040336,5.973945688321715,8.845716822313179,9.95612284666098,9.946316199620972,11.038376370103826,9.50030452446494,13.596274825882926,14.708741959262776,15.111444544540143,12.75968003186605,30.986882976850673,15.11821968690865,14.099286647748407,14.67105676838213,14.48190645721499,16.928764481285832,9.043255267256125,10.130799626908718,14.262485182038724,11.898876007585656,37.94254773593679,14.298122460391745,9.86514967417687,10.808866674205346,10.682323716868403,9.082542484610125
topology_ad_carcinoma_3_clean.csv,9.92434103524144,20.491620811372346,23.716794583373527,24.65963252043287,18.127228431266268,21.106754393962987,13.471332776481793,1.3449956438576776e-308,21.72318736400451,22.3416457610612,23.510971986601472,21.064822324140906,7.6336881845063616,12.948185103017513,23.900934211112386,21.300099669987468,30.714564002550627,22.829177241523247,15.569639629795303,21.48195695522797,25.137117293655283,13.844289708883109,24.039947016051414,21.17428571260909,26.44250528377828,24.481033305716473,11.214079645253056,13.428773904357561,24.938775223510728,22.812316896288255,20.57876606760046,7.429035339745356,18.72612926408925,22.317049598794974,18.439761356010614,18.02960369934529,6.222627954581142,13.771251633490785,16.403499208121943,19.439522367125697,20.999999854355387,19.26287692600374,17.515550200368878,28.589552463390444,27.570619424230202,28.142389544863924,10.312226102958318,12.739586623652128,14.26855569059942,23.602132403390513,21.618938871942984,25.37020878406745,31.84930525512904,22.605647402048167,16.113328701078586,24.280199450687142,24.153656493350198,18.473978164940036
topology_dysplasia_14_clean.csv,16.040643852273654,9.9947094575197,8.782239448619995,13.704058162228216,9.243700538360564,9.471744097805951,13.171835052649284,21.72318736400451,2.011699342670922e-308,9.33297748819967,11.663584509714305,11.40446052457504,28.585998669176497,13.215709208842982,12.618589076224469,12.675628912007038,8.99137663854612,12.701411599978798,8.880096347783905,7.751522257285247,13.640948412135419,29.31393217081567,8.617952601657564,15.693835419103504,12.790862389761552,12.337008962412018,16.465173302686885,14.48093206984668,12.672692106803602,13.25572083110961,14.916452333669143,14.410536762957385,14.682557689917825,13.491122405594368,14.649988751883626,11.755854932475389,19.301697514578287,13.837094543761024,11.691876515669177,9.315594137789741,12.245410629956172,8.276010647891358,39.23873756437339,8.03568921534708,9.33535047604471,8.77555608718453,19.718113898351312,14.602686229541831,12.753665432422608,12.977124149635788,9.54285049331394,12.859375027712733,45.433178955821774,9.066610798159415,9.985558363716002,12.38714595774493,13.209380363896992,13.309390651445678
topology_ad_carcinoma_1_clean.csv,16.659102249330346,9.950255812151424,6.717497866897496,8.689877914560022,6.481509540082648,5.294807589732788,8.870312984579405,22.3416457610612,9.33297748819967,1.82589521162629e-308,6.911392497849257,7.549719383515493,29.204457066233186,9.393460658043686,7.797352841253087,7.41376544286917,8.37291824148943,7.788867489119436,6.772006131265897,8.018108219240421,9.571902421142527,24.517352255938032,10.238217832388692,13.521297733661099,7.9028290543719955,6.559344931882341,11.127566115808142,15.099390466903372,7.274577270155808,8.585895652277978,11.297979380078427,15.028995160014077,11.26875036074765,9.10116711149669,10.70157358713183,8.553878709102305,18.138016370616725,9.087660363904583,9.54659959210596,9.478427782338926,10.968557043838128,9.085252708733108,39.85719596143008,8.570874095888204,12.787842127788293,12.14053834146776,20.336572295408004,12.435815883489411,8.073090070461781,8.895445409270101,9.847374557622093,7.868682979184893,44.54439071736827,11.390312576951622,7.289890516111667,7.375549221706489,8.326407001571454,8.357476034617441
