,stroma_ad_dysplasia_FA_HN14_2.csv,carcinoma_FA_HN11A_2.csv,dysplasia_FA_HN15_5.csv,carcinoma_FA_HN11A_4.csv,stroma_ad_carcinoma_FA_HN14_1.csv,stroma_ad_dysplasia_FA_HN14_1.csv,stroma_ad_dysplasia_FA_HN15_3.csv,stroma_ad_dysplasia_FA_HN11A_5.csv,stroma_ad_dysplasia_FA_HN11A_1.csv,dysplasia_FA_HN11A_1.csv,carcinoma_FA_HN14_2.csv,stroma_ad_carcinoma_FA_HN14_3.csv,stroma_ad_dysplasia_FA_HN15_2.csv,stroma_ad_dysplasia_FA_HN11A_3.csv,dysplasia_FA_HN11A_2.csv,dysplasia_FA_HN11A_3.csv,stroma_ad_carcinoma_FA_HN15_3.csv,carcinoma_FA_HN11A_1.csv,stroma_ad_dysplasia_FA_HN15_4.csv,carcinoma_FA_HN14_3.csv,stroma_ad_dysplasia_FA_HN14_4.csv,stroma_ad_carcinoma_FA_HN15_4.csv,stroma_ad_dysplasia_FA_HN11A_4.csv,dysplasia_FA_HN11A_4.csv,carcinoma_FA_HN14_4.csv,dysplasia_FA_HN11A_5.csv,dysplasia_FA_HN15_2.csv,dysplasia_FA_HN15_1.csv,dysplasia_FA_HN15_3.csv,carcinoma_FA_HN15_2.csv,stroma_ad_dysplasia_FA_HN14_3.csv,stroma_ad_carcinoma_FA_HN14_5.csv,carcinoma_FA_HN11A_5.csv,stroma_ad_dysplasia_FA_HN11A_2.csv,dysplasia_FA_HN14_1.csv,stroma_ad_carcinoma_FA_HN11A_2.csv,carcinoma_FA_HN11A_3.csv,stroma_ad_dysplasia_FA_HN15_5.csv,stroma_ad_carcinoma_FA_HN11A_1.csv,carcinoma_FA_HN14_1.csv,stroma_ad_dysplasia_FA_HN15_1.csv,stroma_ad_carcinoma_FA_HN14_4.csv,stroma_ad_carcinoma_FA_HN15_1.csv,stroma_ad_carcinoma_FA_HN14_2.csv,carcinoma_FA_HN15_1.csv,stroma_ad_carcinoma_FA_HN15_2.csv
stroma_ad_dysplasia_FA_HN14_2.csv,0.0,4316.2236616396685,4850.711136477298,4335.234459047426,2304.252246873864,2579.587251556678,5325.825331792374,1295.6008217568701,2224.892512709995,2407.2371310407552,6756.713952609018,2232.790874819015,2963.359877264859,1852.5401344955876,3568.1423649005424,7695.926425242614,4384.59052425018,4291.163133744601,501.27152361364455,3399.5853872114776,1250.8698717849763,4237.98803754825,1884.4497784924947,5879.702426806594,3788.262127522696,5523.031667585651,6415.970164662695,6357.821750133543,11089.939137694311,6851.20351294631,6227.207011382012,2639.7975717810386,4429.100600324863,1172.7889371586584,7499.431367698285,3283.666008673504,5497.7432897684685,1562.7582552614929,1540.9194759864401,3893.1956404165894,1259.977423870148,2300.9587080354377,5477.900211079481,1836.4318296799645,7000.135946550462,5987.089656749888
carcinoma_FA_HN11A_2.csv,4316.2236616396685,0.0,805.2522792354227,784.7837688015202,3268.9620901537683,1925.9721741552285,3232.6291441899443,5471.761886021866,2285.7683780405914,2215.085816341892,2521.451769701101,3429.0635464957422,1712.7171902609314,3533.9107236180007,811.8391060028902,4075.557759030741,1180.6734824590392,909.6312754245158,4492.168523786319,1348.0936009229251,5296.496651745764,784.0285478163361,3368.365204255669,1790.0246477243322,764.1926396149153,1837.783330171796,2228.3532581745753,2077.3874091715866,7485.003119052233,2830.439187094688,3985.3245759094293,2610.7520152135894,782.0346582250014,4212.380324677935,4516.415134228878,1130.2852033587549,1367.8186919479983,5212.590366610275,2961.0265084816083,861.864174848469,3257.9577135737145,2668.683718588845,1415.9911553701559,4572.905915049578,3141.820649820118,2522.6644466818257
dysplasia_FA_HN15_5.csv,4850.711136477298,805.2522792354227,0.0,944.6313378491551,3888.779328390478,2536.095733558144,3311.9453212475905,6018.313965506001,2879.4809043468717,2807.539858493426,1931.7238354845542,4025.8981181699764,2285.544696267985,4114.479319923443,1453.5074762432089,3437.5057595753065,1788.88280735952,1123.039678304658,5053.13068266703,1994.6616146299712,5860.600343962455,1374.6955405718431,3943.9742854703422,1157.5394855613529,1350.3848776176774,1407.4191689568893,1623.8718714193515,1518.1680765012547,6839.670790371741,2197.063935962099,3819.968189381619,3245.539227573443,802.1091624922345,4781.199550582286,3971.8241469591785,1690.2590274057566,822.5727793748532,5776.0572216554365,3552.9078462162765,1441.022386218308,3829.4196594279506,3268.181815828397,842.3637731381048,5144.440361589842,2480.7935479696616,2171.5103494859914
carcinoma_FA_HN11A_4.csv,4335.234459047426,784.7837688015202,944.6313378491551,0.0,3221.9067037717396,1881.0320313367154,3887.258510468561,5465.020689427737,2261.3914147251207,2196.2187506779387,2571.518931645117,3385.0630946016886,2050.9867506099235,3494.4020692213917,1067.4395740644284,4295.5081854814525,1914.9667163340312,244.47020421186394,4542.067461322404,1282.9251906603683,5441.336411709748,1485.3316500806072,3329.784806751247,2000.5231906248107,657.7370904393081,2297.9933369515306,2285.9362877027947,2109.721651723727,7570.441697493243,2913.792819795115,4564.035990056971,2554.203209132668,269.942713911073,4175.477599767257,4912.0200255075115,1585.6734871925928,1189.3486925664627,5181.2056930016715,2964.294605818044,680.4040557899763,3310.520659470889,2623.831043671191,1721.013611817128,4535.583304464669,3274.1815221076495,3035.4508574874676
stroma_ad_carcinoma_FA_HN14_1.csv,2304.252246873864,3268.9620901537683,3888.779328390478,3221.9067037717396,0.0,1362.6380916684145,5566.352948846295,2373.5499450119555,1259.2392274173071,1236.4048995652786,5783.175439396451,203.11861288333876,2594.573985991144,467.0056167287813,2508.246876534205,7228.241104928586,3660.3544670653714,3080.826395446316,2257.9429495290246,1978.8889285470884,3342.6199820793677,3439.4300480862294,431.7630493114036,5010.901532657965,2579.0436219656012,4865.606885496655,5489.963456019478,5318.5926457478545,10706.485438199432,6079.247215571548,6465.792641648943,712.890359013029,3295.440380259088,1249.6578003046586,7450.451142603561,2783.145709738164,4369.039188975985,2019.1597919757749,1316.4122592764093,2593.9830235339678,1432.4523272575036,699.0382995688467,4594.292478669073,1359.4554705607954,6359.507846452778,5483.705743379956
stroma_ad_dysplasia_FA_HN14_1.csv,2579.587251556678,1925.9721741552285,2536.095733558144,1881.0320313367154,1362.6380916684145,0.0,4350.335264212245,3620.3478119255487,405.9393101580632,380.7988309849469,4433.964036256793,1512.547784587294,1452.0456396811544,1629.4571662052895,1166.052135570641,5879.448542933616,2319.560370919137,1772.1710031468253,2770.5272159827477,864.7096316468679,3793.6794928102704,2094.697419885591,1470.541199839682,3656.0843508505664,1268.239285042491,3521.511595654537,4138.63430559148,3976.7926483301417,9354.769046509913,4723.582131803851,5224.903581521535,808.7484317295921,1952.645144472473,2311.6094465913498,6125.9709843289975,1526.2153337775112,3048.626277902706,3320.676589289377,1165.546355169313,1340.2717386285867,1570.080007478425,752.1683935829163,3240.367477545106,2671.1914830698547,5002.914340078027,4139.364858587484
stroma_ad_dysplasia_FA_HN15_3.csv,5325.825331792374,3232.6291441899443,3311.9453212475905,3887.258510468561,5566.352948846295,4350.335264212245,0.0,6600.370335758819,4312.987966876805,4381.364656163451,4180.017545513496,5559.6836260483615,2988.896211733568,5428.316729787124,3435.99779132427,2615.4180973871653,2224.0809411846762,4084.6096672580998,5589.012032201145,4356.653898792422,6050.557006292122,2543.333409060748,5272.244151286303,2879.0828418644037,3928.5811574799322,2143.276744780796,3466.9121314551658,3804.0519008179303,5899.410235145587,2891.7956571654095,984.5300656735855,5150.689981748952,3736.3707306594206,5702.235613539251,2410.9742989787574,2829.248144756242,4049.631151047363,6578.321741427995,4615.151879378168,4074.350547601534,4616.220737709897,4920.850797297452,2646.9728303628935,6203.79325457791,3020.0820222952666,1543.4876896443516
stroma_ad_dysplasia_FA_HN11A_5.csv,1295.6008217568701,5471.761886021866,6018.313965506001,5465.020689427737,2373.5499450119555,3620.3478119255487,6600.370335758819,0.0,3251.936598743083,3323.4095059149145,7942.137417718223,2227.5746598971646,4133.967529836992,2042.9371905097482,4713.681999854191,8951.434083162052,5586.277806674717,5363.205577893168,1030.9981788114308,4313.566999018338,1158.2702709719347,5433.457899207954,2173.5811598320643,7083.430431195277,4863.40752022953,6741.51143168715,7614.143134963106,7529.63753658485,12364.853962981158,8074.373208775347,7501.829257317479,3064.957616106846,5540.942428132141,1379.962554493356,8774.247006171778,4462.053246449401,6629.140007256395,741.0749554785435,2608.3001494760897,4908.103174457116,2287.1712363849347,2907.7540703146396,6669.730438712112,1410.8895434868657,8237.292724423274,7224.145179606463
stroma_ad_dysplasia_FA_HN11A_1.csv,2224.892512709995,2285.7683780405914,2879.4809043468717,2261.3914147251207,1259.2392274173071,405.9393101580632,4312.987966876805,3251.936598743083,0.0,346.92122355358265,4788.707241266457,1267.424485724904,1342.636605660857,1263.754658043602,1508.8933174306756,6085.49917905951,2538.7019776351644,2165.395957349751,2382.9889878584777,1229.7471148111922,3417.814990989191,2350.4817590351086,1116.1907419652948,3974.7672373483792,1650.8556685715594,3745.8028978637813,4484.195555369693,4342.110076016442,9596.140640650332,5031.966130250794,5211.934006624869,935.4849770474669,2329.9946794947687,1940.938793859037,6228.1319396349145,1535.9769839855232,3438.7195843125833,2950.806771561982,791.1490365053257,1726.920205915313,1187.5498846290773,695.7381795437257,3555.255797734274,2301.983238727546,5277.980081619222,4315.208496105762
dysplasia_FA_HN11A_1.csv,2407.2371310407552,2215.085816341892,2807.539858493426,2196.2187506779387,1236.4048995652786,380.7988309849469,4381.364656163451,3323.4095059149145,346.92122355358265,0.0,4712.978647401976,1266.0045471689482,1440.0517191760696,1328.7245284208734,1434.5680360557483,6050.8691256087,2485.2508934933635,2106.3377564755324,2534.6394925104014,1087.9267792620851,3615.794927186012,2281.354584123521,1179.92204362693,3900.050203177641,1596.3243712246085,3698.771032131109,4408.116362954916,4275.709568294602,9555.345635637568,4963.407780887548,5264.570812409566,775.4620437189433,2270.6074081633888,2008.8711171750065,6222.986270745824,1566.3031309004796,3379.69503348457,3014.7599623284455,1004.744118091569,1663.9676585060124,1354.626006695191,549.2572639039927,3480.6056930892137,2367.1750096832457,5220.2039939559845,4285.4981171811505
