,topology_ad_carcinoma_2_clean_tumorales.csv,topology_ad_dysplasia_1_clean_tumorales.csv,topology_carcinoma_4_clean_tumorales.csv,topology_dysplasia_10_clean_tumorales.csv,topology_ad_carcinoma_12_clean_tumorales.csv,topology_ad_carcinoma_8_clean_tumorales.csv,topology_ad_dysplasia_5_clean_tumorales.csv,topology_dysplasia_17_clean_tumorales.csv,topology_ad_dysplasia_3_clean_tumorales.csv,topology_carcinoma_10_clean_tumorales.csv,topology_carcinoma_20_clean_tumorales.csv,topology_ad_dysplasia_4_clean_tumorales.csv,topology_carcinoma_19_clean_tumorales.csv,topology_dysplasia_12_clean_tumorales.csv,topology_carcinoma_12_clean_tumorales.csv,topology_dysplasia_15_clean_tumorales.csv,topology_ad_carcinoma_15_clean_tumorales.csv,topology_dysplasia_9_clean_tumorales.csv,topology_carcinoma_11_clean_tumorales.csv,topology_carcinoma_5_clean_tumorales.csv,topology_carcinoma_1_clean_tumorales.csv,topology_dysplasia_18_clean_tumorales.csv,topology_ad_dysplasia_10_clean_tumorales.csv,topology_dysplasia_14_clean_tumorales.csv,topology_dysplasia_16_clean_tumorales.csv,topology_carcinoma_9_clean_tumorales.csv,topology_carcinoma_17_clean_tumorales.csv,topology_carcinoma_18_clean_tumorales.csv,topology_ad_carcinoma_7_clean_tumorales.csv,topology_carcinoma_6_clean_tumorales.csv,topology_ad_carcinoma_14_clean_tumorales.csv,topology_dysplasia_19_clean_tumorales.csv,topology_carcinoma_3_clean_tumorales.csv,topology_dysplasia_4_clean_tumorales.csv,topology_ad_carcinoma_4_clean_tumorales.csv,topology_ad_carcinoma_10_clean_tumorales.csv,topology_ad_carcinoma_1_clean_tumorales.csv,topology_dysplasia_1_clean_tumorales.csv,topology_dysplasia_13_clean_tumorales.csv,topology_ad_carcinoma_6_clean_tumorales.csv,topology_ad_carcinoma_5_clean_tumorales.csv,topology_ad_carcinoma_13_clean_tumorales.csv,topology_dysplasia_11_clean_tumorales.csv,topology_dysplasia_2_clean_tumorales.csv,topology_carcinoma_2_clean_tumorales.csv,topology_carcinoma_7_clean_tumorales.csv,topology_carcinoma_8_clean_tumorales.csv,topology_ad_dysplasia_6_clean_tumorales.csv,topology_carcinoma_15_clean_tumorales.csv,topology_ad_carcinoma_3_clean_tumorales.csv,topology_ad_dysplasia_9_clean_tumorales.csv,topology_ad_carcinoma_9_clean_tumorales.csv,topology_ad_carcinoma_11_clean_tumorales.csv,topology_dysplasia_7_clean_tumorales.csv,topology_dysplasia_6_clean_tumorales.csv,topology_dysplasia_5_clean_tumorales.csv,topology_carcinoma_14_clean_tumorales.csv,topology_dysplasia_3_clean_tumorales.csv,topology_carcinoma_13_clean_tumorales.csv,topology_ad_dysplasia_2_clean_tumorales.csv,topology_carcinoma_16_clean_tumorales.csv,topology_ad_dysplasia_7_clean_tumorales.csv,topology_dysplasia_8_clean_tumorales.csv,topology_ad_dysplasia_8_clean_tumorales.csv
topology_ad_carcinoma_2_clean_tumorales.csv,0.0,1785.5800471308255,4733.295232985914,3221.0176402176785,1112.0521249629135,1890.5622805594044,1963.0872742131442,2267.6325991660724,1504.324271903308,4467.683724327897,3965.38815150776,1863.0148796823519,4340.280340270201,3084.4669982516443,3679.648421744114,2783.1643462665334,1048.0833439192502,3892.719823448721,3506.2073971907193,5404.313425823079,4425.36707683414,1450.742656993202,1547.5341910920638,2647.721195019252,2330.311273082169,4191.191080316629,3245.040210482646,3655.5579830107085,1098.6136166763354,3584.4406247095417,1515.3824408653727,2042.5547090871544,3102.296887668794,4226.327748061542,1094.886086936114,1608.5262538262236,847.143233540356,3986.824986087743,2560.6827356304752,1914.3583430167148,1377.9256591473095,1518.5757837434078,3098.3589709421226,3267.250461985085,4661.021874687638,3346.016110907297,3590.7685967332854,1779.3493023213464,4769.471502392551,1552.7837963642367,2302.9424081592715,908.4076486903585,1333.705757197799,3919.7227975488763,2567.433357636075,3254.405330857242,2454.98585256998,3387.57396896829,3482.7789536324954,1127.7748048951714,4329.548843720854,1013.7218104932083,2905.6570977737892,2322.4122860948924
topology_ad_dysplasia_1_clean_tumorales.csv,1785.5800471308255,0.0,4689.39892030553,2720.5408370358,2012.8592695006662,1645.1910788859889,2941.3987114772435,2287.0171184489554,2356.7667674927307,4434.804101045441,4826.040511237969,2891.858101612075,4423.895069095912,3406.599093802647,3716.3765495696534,3380.6586865713675,2053.020159721697,3236.953772275902,3661.031483829005,5103.734680580192,4356.109189499408,2299.9609905475836,1011.0063386484676,3327.6885050827873,3174.357546070353,4157.82752391995,4119.923452969974,3972.935731200052,2166.310097043133,2590.557302586801,1871.5033735674222,1761.0053806976825,3246.918033682771,3458.890740558654,2067.374224335396,1408.2413460454968,1549.2294403394365,4259.935078391142,2774.0360764660586,2985.068749998485,2117.8511973764594,2513.311359051914,3068.593611582906,3036.792625890687,4258.312898065658,3343.1390284330637,3746.8872905855515,2511.8054102969513,4366.390990640994,1845.9106443254589,3374.3746411856687,1558.4241392139813,1326.9716060354624,2662.4069436689538,1582.5464735063856,3421.84722178928,2660.7364071089182,3484.252779971108,3694.1546837529013,1829.877028169111,4834.454906318185,1541.1039194104287,2871.0727494583825,3412.921480711248
topology_carcinoma_4_clean_tumorales.csv,4733.295232985914,4689.39892030553,0.0,2598.726539184128,3996.012585748265,5783.683500596489,3608.0910504181734,2989.6724648743734,3515.630630101954,1250.423814320036,4076.0693917547856,3650.43938450541,1318.7145159467843,2464.452345921194,1755.1918088920474,3287.4700694653297,4203.908234543491,3202.0734738241135,2010.5755402386362,1667.9112158409964,1384.3403114198445,3532.3704750957163,4821.987454286232,3327.3557331470265,3591.70444446103,1647.6261146768911,3567.748559824036,2260.756858088537,5468.979606440955,3477.366575875005,3654.797572710972,3295.5070704820205,2345.5544490996335,2580.424079629555,4035.970495260834,5361.962739163449,4617.153781546661,2093.3832167581427,2550.8492925201595,3739.1907655215973,3709.1836761927743,3835.57114717712,2212.71866788907,2290.0766506047503,1859.222725214675,2078.270764385877,2045.320925671368,3268.219513773066,2197.66077770634,5499.917163904089,3908.366163861582,4944.695209377528,4118.789132920752,5977.489826407789,4359.320660065223,2111.224474749426,2744.238034464855,2150.2713982813475,2197.134098768212,4123.247500813213,3238.5905100070095,4811.154071074426,2292.16825491278,3985.686484442686
topology_dysplasia_10_clean_tumorales.csv,3221.0176402176785,2720.5408370358,2598.726539184128,0.0,2514.8512218898336,3857.840164671148,2636.7150055717293,1546.6608383916528,2219.219740302229,2301.3177416197955,4037.2645282933036,2619.7796174464033,2455.828783987405,2121.654277713576,1920.9919004718756,2531.901392450502,2800.3090052364964,2335.8253085189976,2139.8389791827963,2843.0023658708983,2227.8863806842264,2209.3801142027733,2950.8822037012465,2532.2667931451324,2673.43375999009,2088.2780774078583,3333.0396826271835,2553.2247435823033,3981.3238868065796,1681.144705099762,2167.427556389207,1536.5026347345074,1687.7242746232694,2073.0849316852195,2735.077697186754,3476.369040542849,3023.2284432574947,2674.9956246495585,1736.3193861775082,2728.175846099575,2365.163699156171,2610.883653813379,1367.0468582136984,1990.1114521258187,2029.8322378102343,1407.3229614652782,2007.7973734259806,2152.1332721877993,2096.6048520819845,3814.8134814064833,2983.334224577985,3296.09983078207,2299.4585786216494,3895.22138113084,2168.851271934781,2028.6096194944337,1749.560013370735,1954.7623790863177,2094.473903939784,2495.1516024647553,3690.4563190345207,3119.8919736312223,1312.3526081969796,3045.863147120414
topology_ad_carcinoma_12_clean_tumorales.csv,1112.0521249629135,2012.8592695006662,3996.012585748265,2514.8512218898336,0.0,2476.874674750083,1225.3523938591716,1573.8196938776084,809.97950772743,3722.243582995961,3202.642593228227,1094.3331660164215,3560.569115534089,2324.0144578311842,2917.4259558893364,2007.6336359598731,688.1549738914753,3570.2238777205475,2714.15185943061,4677.564872822218,3721.6355370855963,782.9554848603381,1915.6399926306972,1877.330412488553,1577.2339956604826,3438.7651005555463,2497.0639868198455,2846.803004016702,1666.9148420656359,3123.4664997322434,1073.422297818158,1397.8508680234504,2340.4296942392416,3746.332936192065,720.539352105089,2161.3981279929562,1074.517446686223,3218.399372708974,1858.317726707678,1209.1667485356143,946.257422546142,796.3167112311431,2368.993389407017,2776.620438768338,3961.583527542224,2636.348972388405,2830.829423262842,1066.9034073566222,4073.6588945418625,2174.698546295265,1564.2432799753262,1350.5524015266624,1128.8802137496282,4134.004107648377,2630.178388305921,2525.3774267616886,1678.1745593564076,2641.429759737733,2684.780647652145,663.8706930451111,3542.6923701739133,1388.6065482749766,2155.307296440906,1563.0175913483015
topology_ad_carcinoma_8_clean_tumorales.csv,1890.5622805594044,1645.1910788859889,5783.683500596489,3857.840164671148,2476.874674750083,0.0,3489.9829411241144,3154.6205199805904,2898.2132133869554,5520.453269910713,5506.230606520808,3357.3073994293172,5496.356361257399,4351.621054719465,4814.794175932193,4204.243439128818,2491.452736346796,4295.326276223971,4678.6017824373075,6232.632157345353,5456.993024679844,2840.1517982642454,1452.6715299554628,4095.783200542248,3806.70395464598,5271.240591459666,4789.6969869929735,4930.360062703199,1771.011347604159,3664.806955348305,2577.99920049456,2761.41243390337,4265.815918109031,4580.447651251418,2525.2334229739536,1297.0573522380444,1833.6122252835955,5258.221987745774,3769.8042716893297,3482.749077474111,2768.320291309081,3014.079897460788,4150.883176352126,4046.6995528101024,5386.62938688394,4444.985473607553,4741.428751137847,3129.8144102645356,5492.645462679998,1336.1838853475474,3880.5064304305024,1625.7864727138128,1978.5350575639827,2776.506583392254,2445.4185965835827,4404.353104199919,3644.2666622882125,4503.915814635097,4746.903668950972,2273.759156216246,5710.109994203018,1748.9353013812301,3940.673400960543,3885.7359081690197
topology_ad_dysplasia_5_clean_tumorales.csv,1963.0872742131442,2941.3987114772435,3608.0910504181734,2636.7150055717293,1225.3523938591716,3489.9829411241144,0.0,1401.9349665309876,815.3698783974827,3145.3149175380313,2137.245937639632,468.32722603625615,2893.2998758880394,1557.632851528588,2269.7061476911817,987.4405192781655,1269.1208184348452,4247.265953675004,2103.98989109149,4246.002042909171,3122.378344121786,849.8067659475356,2844.733947395179,868.6306222527149,505.42320717262885,2784.392350051296,1417.8339038407323,2026.462795808791,2425.301163552318,3686.9685648843943,1677.136281621034,1682.1747559195937,1637.068419152848,4257.216320578621,1201.8406684749368,3108.6215817994457,1948.73582983205,2357.434956326032,1531.1432445019398,410.3412444862135,1308.734902191401,882.2265518491529,1865.5153149249504,3418.5056301118575,3987.901048270113,2066.8731333992505,2057.0715420313995,701.4133027401309,3852.228869619508,3084.4235321760452,530.2273799187897,2305.036899198036,1943.7631475127378,5039.438457402388,3481.3806411946794,2091.6400131188493,1215.2738621409724,2288.723263529849,1825.3514263237792,1438.4944475038274,2571.313742119005,2325.6791336613132,1857.802614697161,592.7668696114922
topology_dysplasia_17_clean_tumorales.csv,2267.6325991660724,2287.0171184489554,2989.6724648743734,1546.6608383916528,1573.8196938776084,3154.6205199805904,1401.9349665309876,0.0,1120.3962504237934,2633.3095173925217,3069.6917950289517,1420.1766951860998,2602.999005263213,1663.3753326861374,1998.1185729704619,1615.7103430898612,1804.2831397059372,3107.881060041273,1920.536388188993,3442.5629658565767,2635.3999954746578,1142.3705472541394,2303.175530530724,1504.5997211116226,1455.7910136959435,2404.067723727261,2311.0187331357265,2165.6380294924134,3037.9066054964437,2516.945876887282,1368.9506432887258,928.374123170889,1408.3559306465388,3085.44754236342,1680.004132269382,2759.863889431442,2137.857685886784,2459.103135019351,1146.1620916642314,1506.7326366024354,1437.839464486733,1563.3824578509066,1387.419629309753,2406.3880436818135,2914.899031383223,1624.6113506225486,1895.252619650481,984.8542599185466,2915.7071443295167,3035.496033522455,1725.1284484372143,2457.0575583028117,1552.4081447309404,3971.6080890138046,2431.4970218957956,1687.9285368791448,976.4805068730609,1805.110452483376,1931.1543562681445,1583.306519044356,3051.905995153475,2285.975519611369,1189.4299492325308,1797.8980952644526
topology_ad_dysplasia_3_clean_tumorales.csv,1504.324271903308,2356.7667674927307,3515.630630101954,2219.219740302229,809.97950772743,2898.2132133869554,815.3698783974827,1120.3962504237934,0.0,3214.880568223112,2763.083902252564,719.5709995265887,3063.792496495567,1802.8245224478173,2397.1018680079465,1526.0316561536274,1030.630700174803,3670.766749014284,2235.081552501931,4179.071640195606,3192.502066099508,511.6063094410593,2208.0879504131844,1392.8391878628527,1064.1034598747722,2924.8370679046684,2045.5559513432736,2352.7936196432765,2135.116786310348,3127.6209081405136,1139.9501138549467,1202.6873388424106,1822.1383885876926,3719.5005538538576,908.0869607265896,2574.097980690486,1433.439424556332,2697.5132609799207,1341.6641892317298,821.2083133982698,933.0763310150037,809.9310496401961,1851.552152078031,2902.5266164625796,3624.1631061046687,2117.6283254905147,2300.245495752591,584.717091290263,3612.0301036075575,2631.1859393782893,1134.884775740989,1810.1881129819367,1374.585358638864,4430.820359620837,2870.361126419542,2010.0213456897875,1224.9783773746394,2173.733428332284,2193.7476861180667,969.9074384719688,3047.1284749437677,1798.821216387672,1672.8868217018583,1184.807458498592
topology_carcinoma_10_clean_tumorales.csv,4467.683724327897,4434.804101045441,1250.423814320036,2301.3177416197955,3722.243582995961,5520.453269910713,3145.3149175380313,2633.3095173925217,3214.880568223112,0.0,3707.305916467671,3215.3990450147635,1107.1008828987044,2011.2176918367736,1356.2824409133582,2810.763014091235,3912.672565727452,2923.674074638989,1645.8664934037556,1755.5983446529294,1163.414741526066,3253.3382586623384,4571.058607027716,2847.056819177516,3113.373693463629,1291.434276987674,3107.651742646267,2016.9519074523605,5196.609654609881,3143.110380066533,3399.928290787816,3033.0889053659735,1896.2765024227374,2296.0142607443204,3728.109169762254,5107.990707943417,4367.469728725176,1848.7160586050013,2183.641919978229,3296.3973104483703,3397.2221588575167,3499.521742192581,1790.5322641826992,2029.2887550651917,1700.1010722143762,1649.9779821778627,1496.7044213958386,2908.327337847817,1846.6915997423891,5263.96262778968,3429.428949988527,4699.052773370851,3844.7927000411196,5733.660391195984,4065.214799279787,1823.899025931782,2371.0780023598686,1858.6417537566583,1762.632466330257,3865.515005411392,3060.7173813619465,4556.805130871849,1898.7766630811964,3509.3548249571522
