,topology_carcinoma_10_clean.csv,topology_dysplasia_18_clean.csv,topology_ad_carcinoma_2_clean.csv,topology_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_dysplasia_5_clean.csv,topology_ad_carcinoma_3_clean.csv,topology_dysplasia_14_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_dysplasia_13_clean.csv,topology_dysplasia_17_clean.csv,topology_carcinoma_8_clean.csv,topology_dysplasia_10_clean.csv,topology_carcinoma_20_clean.csv,topology_dysplasia_11_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_carcinoma_13_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_carcinoma_9_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_carcinoma_4_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_dysplasia_8_clean.csv,topology_dysplasia_7_clean.csv,topology_carcinoma_17_clean.csv,topology_dysplasia_19_clean.csv,topology_carcinoma_5_clean.csv,topology_dysplasia_8_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_ad_carcinoma_11_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_dysplasia_12_clean.csv,topology_ad_dysplasia_1_clean.csv,topology_dysplasia_1_clean.csv,topology_ad_dysplasia_3_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_dysplasia_16_clean.csv,topology_dysplasia_15_clean.csv,topology_dysplasia_4_clean.csv,topology_ad_dysplasia_2_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv,topology_ad_dysplasia_6_clean.csv,topology_ad_dysplasia_9_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_ad_dysplasia_4_clean.csv,topology_dysplasia_6_clean.csv,topology_ad_dysplasia_10_clean.csv,topology_ad_dysplasia_5_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_carcinoma_10_clean.csv,0.0,3129.6236414792006,3747.905739558524,2054.8896874138854,4050.4639927728763,3536.1779901887558,1375.8722260599304,4004.356469625913,2766.42102762404,4487.0581405559205,1937.5835793150143,3362.6561182209107,1873.963121991622,2138.151770316568,2958.3487298558352,1673.810818829813,4905.403777478783,1760.1651121246073,4707.914887593193,1323.5997860924895,3365.035193692119,1287.578900135252,3303.4671778308357,4493.722983427759,4652.095346933042,3192.0615880041228,2439.397036755622,1882.2453381714347,1868.6150298179236,3112.9170703871305,2012.8376243119071,1226.1520956631734,3004.9579588130023,1074.577158561255,1560.6314047021413,1195.3114521519456,1420.3581974195818,2709.9104002800227,1801.9403621629476,3373.7180473447506,4656.976890326011,3793.8598169603642,2831.773798693163,1814.2277481891492,3325.816398837345,5315.142531728709,4539.757465236146,3600.553518382028,4518.810403583101,1940.741946203292,3205.3194506809905,4016.6213044692913,3614.406306497289,2717.6339038943515,4448.191746632557,2795.361863638737,2484.6743942110547,2081.5870453170987,2218.5297510984
topology_dysplasia_18_clean.csv,3129.6236414792006,0.0,1721.501190197232,3055.3841925428783,1741.7288244924107,1663.9434654977629,2918.7473459626885,1856.9936323324664,742.3173679812701,1995.1799956994096,2407.363333557773,1884.8194886787408,2683.6775902958593,3025.8498815797157,2446.023565305761,2571.4908443387867,2191.5785139260647,2579.7776670031667,2043.5218223497855,3121.598435945863,1079.8964940574112,2723.3975623613724,859.3466335673156,1875.3914785339648,1791.5064459706357,2644.7702005614096,2264.6411898978417,1634.1978833351743,3015.3292760098325,2579.6370390810616,2954.9078241869765,3625.1326423496794,1702.4046929341512,3279.184828637216,2770.1050775328154,3590.907735903128,2465.8184478972253,1894.9326493762162,3117.9679317001223,1179.3563430449246,1775.3459162670804,952.4426527268469,891.8433432106658,3203.9623673728443,956.3517683499825,2552.264238825042,1717.6468535395811,1375.5670111916802,1693.4145933142445,2709.9058261721016,2814.6038660187455,1184.0066042571862,2711.0026128280642,1970.2982920910538,1578.699009455754,1571.6578784364779,2411.9260857425425,2966.2684442201744,2966.615142649416
topology_ad_carcinoma_2_clean.csv,3747.905739558524,1721.501190197232,0.0,3732.8586660290116,1236.9667226401018,1052.8960786819248,3385.6787338187696,1160.903853717434,1815.793011087982,1217.9424318823326,2620.962474645743,2471.110044298609,3146.7973132911657,3164.7775833165115,2741.0157854353083,3126.744846823991,1527.4166988005875,3146.4835682157695,1379.8645880383365,3653.269114423547,1114.2955162268313,3371.1030000007813,1205.3784821287409,1279.352933528277,2703.768745549958,2866.119956794537,2852.60774506139,2701.66321840135,3595.9822314407825,2936.742150672502,3635.6680689677005,4310.506304700509,1925.9908380092502,4075.0619061875027,3198.791630352937,4162.060612680571,2836.6665218456583,1604.8730658774305,3628.7795481531507,1592.0001652272852,1839.4720516644588,1869.8950541277047,1684.5625918374672,3776.4990898708947,1088.4164831347457,1905.7945729862024,1410.2026763154465,1743.0005317779005,2530.2609383576178,3261.8421683351403,3469.7116329803007,1817.9451370104682,3098.0082422537657,1823.4273899030907,1667.1339349278264,1577.926906609337,2646.617186612349,3273.2773970298585,3507.1745345082963
topology_carcinoma_2_clean.csv,2054.8896874138854,3055.3841925428783,3732.8586660290116,0.0,3514.0377460501973,3274.7203790665912,1308.4754696247867,3771.7065015966687,2738.292630033109,4109.087523072535,1689.3796133824471,2344.881453961318,1308.4623710842613,1828.5940294844172,1777.6338169827118,1270.01894529046,4518.687787488311,1167.7447468860996,4273.532750122474,1288.275390103573,3356.2306278730844,1262.4069500635871,3231.6005581558925,4022.451513768722,4676.762339938857,2006.7549052236145,1528.621569785858,1827.1745610769563,900.9567207286424,1877.4373683764509,832.9343702412076,2659.5752093528818,3720.023504046414,2450.704828035499,1351.6201883775261,1659.7341796781554,2191.2493905151,2867.705919970254,975.1993129993451,3687.204317567119,4444.843977549469,3696.1590668846893,2625.7259968981325,937.581672282682,3223.9377925426866,4863.8559721890515,4190.28339451231,4022.8632512824965,4585.933221831127,1056.1618649880074,1675.540163813831,3972.310409373565,2207.707218113243,2910.9524190666125,4190.8449292942805,2568.6522321234484,1534.4632758210346,1059.8434375433817,907.1234004173838
topology_ad_carcinoma_10_clean.csv,4050.4639927728763,1741.7288244924107,1236.9667226401018,3514.0377460501973,0.0,957.0913210134528,3421.0348088920946,1043.48479361703,1794.3019164828822,919.2449770057768,2645.8256188047667,1932.0002892328625,3043.8280387225054,3271.5734479616935,2401.5806101338594,3168.9931280798164,1281.0965697563588,3071.2284187099867,1063.579178686619,3699.8942283091073,1581.7807106140585,3387.457223074681,1491.1274061614633,934.7897066903066,2885.1953252884086,2439.0899881986893,2624.866930832757,2650.708711588514,3448.2604235154627,2506.0325786415365,3445.1577300327376,4642.001953627244,2710.7112437746005,4363.672700169857,3240.687463069731,4290.492531089437,3125.1896169902793,1847.263103435712,3632.4988227483777,2237.2678002229995,1957.6696556225024,1921.5427523160163,1632.5588984886938,3731.8332577805877,1454.1264789090496,1575.8071432280449,1390.955427186487,2438.544880821106,2757.559218623443,3150.470114190736,2835.6113376884214,2027.0028371701721,2471.489388212474,1996.0639555396529,1769.5414795181623,1548.7589199989138,2338.2934303548113,3147.8330816809207,3260.3720280171146
topology_ad_carcinoma_9_clean.csv,3536.1779901887558,1663.9434654977629,1052.8960786819248,3274.7203790665912,957.0913210134528,0.0,2952.1731708575803,1038.7970392129453,1628.0445072280716,1270.416535806366,2196.869697160212,1933.3802973534334,2739.789407006795,2835.4226447141436,2160.5251330460205,2730.5941013624365,1682.8072108577192,2742.100746616742,1482.6125962795838,3258.1355317561124,1252.0035613169737,3027.8120046293607,1277.6829054243103,1309.3271366383774,2949.6814629081105,2291.323589976487,2336.019605874233,2438.932055072054,3143.17363725566,2308.0701807967885,3162.7371320569623,4103.1867964535895,2185.0704792103897,3883.875602479306,2816.1218483802386,3805.0274979368246,2635.1094317701927,1353.655119729087,3235.7306834414867,1854.3369347094304,2089.042984086913,1984.4469828769074,1409.251168380948,3338.544846770466,1132.6591297064715,2063.0841748221274,1629.9181907764735,2095.190758633456,2779.5473532689293,2813.493061155651,2854.346407523003,2067.8046769853463,2419.4198920375575,1534.6738676403572,1893.789427301613,1246.8099207237058,2188.7113497405,2849.667415219597,3014.4360888104347
topology_dysplasia_5_clean.csv,1375.8722260599304,2918.7473459626885,3385.6787338187696,1308.4754696247867,3421.0348088920946,2952.1731708575803,0.0,3509.4942191592,2564.735835411784,3924.870815435274,1269.9560634537954,2408.58861326921,1117.6841024768048,1457.4324623476616,1971.3554804207233,1019.4817678645551,4349.3407930703725,1011.303600654104,4153.959563434409,906.4307576186565,3051.5112961203804,917.9068696737927,2999.3975486355716,3934.3463829803795,4587.14805546709,2209.645078452397,1571.6755379874173,1711.4631925403912,1130.6626381475878,2133.686564998355,1239.7967860622182,2016.4873569173183,3121.7663515752874,1843.0112745891593,937.907331159839,1320.2091429058034,1418.6668994182314,2332.3796012664598,1166.3562475042563,3312.5947944596337,4309.710273775492,3632.618288640772,2453.7485618941505,1132.9502041866265,2925.1528517147094,4757.938819274612,4075.8976508333903,3656.3747005604537,4428.147064951444,1093.951610524964,2175.3088517085043,3813.9146274580326,2568.462185334585,2378.366495115535,4069.871190407612,2278.5822296399424,1569.142820803522,1159.152522608792,1340.2306122874616
topology_ad_carcinoma_3_clean.csv,4004.356469625913,1856.9936323324664,1160.903853717434,3771.7065015966687,1043.48479361703,1038.7970392129453,3509.4942191592,0.0,1839.3545856889532,1198.4601447649854,2671.8830596195894,2208.65591899731,3055.0549757641234,3128.0570878770936,2586.120501310409,3239.774761322441,1535.2711301525524,3176.8799917606375,1377.704349241463,3760.6015090668147,1550.020736219395,3574.6205898263033,1498.4129166296937,1236.0170437593022,3030.08352694459,2598.839413437214,2672.843794946547,2832.770689348982,3586.132137979009,2651.263704090793,3632.38790597214,4618.193175667221,2390.38400809123,4424.425576124356,3356.633068290555,4351.139286830355,3055.687645050004,1728.9891122221156,3610.910900679006,2116.0301907346393,2120.8147688151807,2104.1585329836967,1721.2214592166347,3846.9095191641895,1422.2199782652285,1929.2430416361246,1570.231521056639,2233.810154054547,2888.4097223223694,3339.877907823635,3215.259532657171,2159.5102283270994,2799.843332878833,1866.4819989719922,1940.4658596075867,1601.7614020135438,2605.7117306271207,3371.480325896107,3473.9265273902042
topology_dysplasia_14_clean.csv,2766.42102762404,742.3173679812701,1815.793011087982,2738.292630033109,1794.3019164828822,1628.0445072280716,2564.735835411784,1839.3545856889532,0.0,2180.0962339836833,2045.3985899464167,1715.885924890228,2287.7973577268417,2639.8015741833424,2110.0095208252906,2238.1811589508898,2449.5213291779764,2217.642427134365,2292.877687880522,2746.3848535736524,1269.0265468018044,2410.0059197520204,1056.8424315053824,2082.8259326457764,2238.9565141404655,2282.419068182788,1919.277072147785,1399.587708239746,2632.216238376738,2261.308301399091,2648.435819607877,3354.788664458726,1841.8956245901743,3103.751698283063,2458.612426600044,3260.946587648171,2175.393870788769,1671.1450665651719,2720.5310818989565,1474.9380192628269,2153.645304373938,1337.4868782159183,728.3942730645956,2846.7292557154046,1124.5018303693957,2829.803501734736,2030.2277577024652,1678.4125939846926,2177.1078355494906,2378.44749286803,2536.2262901081967,1591.7153546690108,2413.5630166838323,1662.5919436594063,1944.7393450108434,1303.761907395711,2088.083733542792,2633.903297657273,2652.67409511249
topology_ad_carcinoma_1_clean.csv,4487.0581405559205,1995.1799956994096,1217.9424318823326,4109.087523072535,919.2449770057768,1270.416535806366,3924.870815435274,1198.4601447649854,2180.0962339836833,0.0,3142.3014153994695,2391.44052809244,3546.2466962670796,3697.1073994871454,2906.018607868364,3629.748491837953,914.4151531164802,3625.455521307009,736.1128373385052,4179.826296422294,1633.6417626910534,3908.5017140905848,1591.058081961179,811.4782798209403,2712.1487768866464,2951.1914720758086,3106.314122706298,3112.6591529487623,4015.57918480134,2982.250251647278,3974.4400839397404,5057.127522523583,2796.200273705766,4771.481582979225,3719.5331828362214,4775.548703154921,3529.2539018773577,2194.4467423482556,4097.1632083012755,2200.630604688949,1772.1932855568416,1835.6055519100712,1997.6293065556333,4254.675180390455,1583.32085924567,1151.3146408186033,1182.6763467393923,2304.6321362180724,2541.623733336535,3691.9379772304983,3412.046950872213,1886.7449863283812,2962.205236961353,2373.893002944713,1591.441719919953,1958.9137273522622,2916.50507650768,3738.07162702438,3817.159316550456
