,dysplasia_FA_HN11A_4_otras.csv,carcinoma_FA_HN11A_5_otras.csv,stroma_ad_dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_3_otras.csv,dysplasia_FA_HN11A_3_otras.csv,stroma_ad_dysplasia_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN11A_2_otras.csv,carcinoma_FA_HN14_3_otras.csv,carcinoma_FA_HN14_4_otras.csv,stroma_ad_carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN14_1_otras.csv,stroma_ad_dysplasia_FA_HN14_2_otras.csv,stroma_ad_dysplasia_FA_HN11A_5_otras.csv,dysplasia_FA_HN15_5_otras.csv,dysplasia_FA_HN14_1_otras.csv,dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN15_4_otras.csv,carcinoma_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_5_otras.csv,carcinoma_FA_HN15_1_otras.csv,carcinoma_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN14_3_otras.csv,stroma_ad_carcinoma_FA_HN14_5_otras.csv,carcinoma_FA_HN11A_2_otras.csv,stroma_ad_dysplasia_FA_HN14_3_otras.csv,carcinoma_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_4_otras.csv,dysplasia_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_2_otras.csv,dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_2_otras.csv,stroma_ad_carcinoma_FA_HN15_4_otras.csv,stroma_ad_dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN15_5_otras.csv,stroma_ad_dysplasia_FA_HN14_4_otras.csv,stroma_ad_dysplasia_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_2_otras.csv,carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN15_3_otras.csv,dysplasia_FA_HN15_2_otras.csv,carcinoma_FA_HN11A_3_otras.csv,carcinoma_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN15_2_otras.csv,dysplasia_FA_HN15_3_otras.csv,stroma_ad_dysplasia_FA_HN15_3_otras.csv
carcinoma_FA_HN15_2_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.858952414357972e-308,inf,inf,inf,inf,40.15096139013852,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN15_1_otras.csv,75.81804412805192,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,63.487781082563416,inf,1.759467467929217e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,55.02932725584746,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN11A_4_otras.csv,inf,72.3162702633658,inf,inf,inf,inf,inf,67.46772956997788,inf,inf,inf,inf,inf,inf,inf,30.14000956152492,69.07375483154644,inf,inf,inf,inf,inf,2.0125947139745973e-308,inf,inf,inf,inf,58.93018922588314,inf,64.73332200709822,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,57.915871582853754,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_3_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35.59458165829177,inf,inf,inf,inf,inf,inf,inf,27.405318228346523,inf,inf,inf,inf,1.3245013791451035e-308,33.6539000999752,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,56.016588108286214,inf,49.08839194875388,15.383078612940892,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_5_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,65.37078057909164,inf,inf,inf,inf,inf,inf,inf,52.704720039470075,inf,inf,inf,inf,33.6539000999752,8.597890363843025e-309,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.923395134750095,inf,26.71925387962456,34.51307523026094,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN11A_2_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,40.15096139013852,inf,inf,inf,inf,1.082004493986261e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN14_3_otras.csv,inf,inf,73.03336173453295,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,36.780503570816606,inf,inf,inf,inf,inf,inf,inf,inf,2.086744748482095e-308,inf,inf,inf,73.03336173453295,83.8043195095762,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,77.2572325747723
carcinoma_FA_HN14_1_otras.csv,inf,79.32782486660369,inf,inf,inf,inf,inf,39.491670943671735,inf,inf,inf,inf,inf,inf,inf,58.72782892737064,57.525721322938494,inf,inf,inf,inf,inf,58.93018922588314,inf,inf,inf,inf,1.9748493483694207e-308,inf,24.078981640680446,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.04820477736976,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_4_otras.csv,inf,inf,inf,inf,inf,inf,25.294663288884323,inf,31.861679623958878,inf,inf,40.29199024910794,68.36360917362228,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.172224503752255e-308,inf,inf,inf,73.978362394165,inf,inf,inf,22.57695800067367,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
dysplasia_FA_HN14_2_otras.csv,inf,83.22640204025615,inf,inf,inf,inf,inf,30.033156449332537,inf,inf,inf,inf,inf,inf,inf,64.73332200709822,47.940882999197484,inf,inf,inf,inf,inf,64.73332200709822,inf,inf,inf,inf,24.078981640680446,inf,1.655138229798286e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,71.23747159191021,inf,inf,inf
