filename,cluster
carcinoma_FA_HN14_3_tumorales.csv,1
carcinoma_FA_HN15_1_tumorales.csv,2
carcinoma_FA_HN11A_5_tumorales.csv,2
stroma_ad_dysplasia_FA_HN14_3_tumorales.csv,0
stroma_ad_dysplasia_FA_HN14_4_tumorales.csv,0
carcinoma_FA_HN11A_2_tumorales.csv,2
dysplasia_FA_HN15_1_tumorales.csv,2
carcinoma_FA_HN14_2_tumorales.csv,1
carcinoma_FA_HN11A_4_tumorales.csv,2
dysplasia_FA_HN15_3_tumorales.csv,1
stroma_ad_carcinoma_FA_HN15_3_tumorales.csv,0
dysplasia_FA_HN11A_5_tumorales.csv,0
stroma_ad_dysplasia_FA_HN14_1_tumorales.csv,0
carcinoma_FA_HN14_1_tumorales.csv,1
stroma_ad_carcinoma_FA_HN11A_1_tumorales.csv,0
carcinoma_FA_HN15_2_tumorales.csv,2
dysplasia_FA_HN15_5_tumorales.csv,2
carcinoma_FA_HN14_4_tumorales.csv,1
stroma_ad_carcinoma_FA_HN14_4_tumorales.csv,0
stroma_ad_carcinoma_FA_HN11A_2_tumorales.csv,0
stroma_ad_carcinoma_FA_HN15_1_tumorales.csv,0
stroma_ad_carcinoma_FA_HN15_4_tumorales.csv,0
stroma_ad_dysplasia_FA_HN15_2_tumorales.csv,0
dysplasia_FA_HN11A_1_tumorales.csv,0
stroma_ad_carcinoma_FA_HN15_2_tumorales.csv,0
dysplasia_FA_HN14_1_tumorales.csv,1
stroma_ad_carcinoma_FA_HN14_2_tumorales.csv,0
carcinoma_FA_HN11A_1_tumorales.csv,2
dysplasia_FA_HN14_2_tumorales.csv,1
stroma_ad_carcinoma_FA_HN14_5_tumorales.csv,0
stroma_ad_carcinoma_FA_HN14_3_tumorales.csv,0
carcinoma_FA_HN11A_3_tumorales.csv,2
dysplasia_FA_HN15_2_tumorales.csv,2
stroma_ad_carcinoma_FA_HN14_1_tumorales.csv,0
dysplasia_FA_HN11A_2_tumorales.csv,0
stroma_ad_dysplasia_FA_HN15_3_tumorales.csv,0
dysplasia_FA_HN11A_4_tumorales.csv,2
stroma_ad_dysplasia_FA_HN14_2_tumorales.csv,0
dysplasia_FA_HN11A_3_tumorales.csv,0
