,carcinoma_FA_HN14_3_tumorales.csv,carcinoma_FA_HN15_1_tumorales.csv,carcinoma_FA_HN11A_5_tumorales.csv,stroma_ad_dysplasia_FA_HN14_3_tumorales.csv,stroma_ad_dysplasia_FA_HN14_4_tumorales.csv,stroma_ad_dysplasia_FA_HN15_1_tumorales.csv,carcinoma_FA_HN11A_2_tumorales.csv,dysplasia_FA_HN15_1_tumorales.csv,carcinoma_FA_HN14_2_tumorales.csv,carcinoma_FA_HN11A_4_tumorales.csv,dysplasia_FA_HN15_3_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_3_tumorales.csv,dysplasia_FA_HN11A_5_tumorales.csv,stroma_ad_dysplasia_FA_HN14_1_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_2_tumorales.csv,carcinoma_FA_HN14_1_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_5_tumorales.csv,carcinoma_FA_HN15_2_tumorales.csv,dysplasia_FA_HN15_5_tumorales.csv,carcinoma_FA_HN14_4_tumorales.csv,stroma_ad_carcinoma_FA_HN14_4_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_tumorales.csv,stroma_ad_carcinoma_FA_HN15_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_4_tumorales.csv,stroma_ad_dysplasia_FA_HN15_2_tumorales.csv,dysplasia_FA_HN11A_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_2_tumorales.csv,dysplasia_FA_HN14_1_tumorales.csv,stroma_ad_carcinoma_FA_HN14_2_tumorales.csv,carcinoma_FA_HN11A_1_tumorales.csv,dysplasia_FA_HN14_2_tumorales.csv,stroma_ad_carcinoma_FA_HN14_5_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_4_tumorales.csv,stroma_ad_carcinoma_FA_HN14_3_tumorales.csv,carcinoma_FA_HN11A_3_tumorales.csv,dysplasia_FA_HN15_2_tumorales.csv,stroma_ad_carcinoma_FA_HN14_1_tumorales.csv,dysplasia_FA_HN11A_2_tumorales.csv,stroma_ad_dysplasia_FA_HN15_3_tumorales.csv,dysplasia_FA_HN11A_4_tumorales.csv,stroma_ad_dysplasia_FA_HN14_2_tumorales.csv,dysplasia_FA_HN11A_3_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_3_tumorales.csv
carcinoma_FA_HN14_3_tumorales.csv,0.0,6807.528787956141,8431.56396375323,6468.393101189138,5582.924886247294,7831.035662340197,6591.348718775327,6758.462527299426,7161.8864606351035,6337.020054943453,7437.441800638227,inf,6298.280038636249,7785.536508411767,6514.400939095898,8205.217328113875,3425.684463914834,inf,7767.364543477269,5196.967464653646,6989.612396644749,1192.9414949501859,5152.782178708147,8350.364511992635,8772.443635154692,7870.875612758582,8325.30351197292,inf,7318.980388740145,4840.3067339098425,8220.474442552944,5736.5742043887,3630.5732447810174,3420.110928452883,7844.111556110768,6122.045452760148,5478.144258707902,3922.8699155487116,8435.28347041683,inf,7100.172626297778,5478.8626263255555,6040.105490965262,7796.333097220773,inf
carcinoma_FA_HN15_1_tumorales.csv,6807.528787956141,0.0,5764.113687567472,2508.6705843936224,3026.3542028577112,6775.429250617205,3737.789445752651,1866.5254267649645,1638.0244565368632,3798.206762974285,3318.4596001791615,inf,1590.850010306591,4876.50616366443,2873.9035164916104,6724.689476100461,3448.4188096372427,inf,6692.7425028202915,1836.6087051016484,2600.9741088707756,5656.866722514775,3094.265666383099,6848.564623318812,6096.2064291258675,5830.05491791903,5436.170820816454,inf,2060.876168013686,6308.632452489231,6435.496717654585,3277.545460039453,5185.628849793633,3864.94017664222,6714.191457837443,3553.500653668584,2624.51119034784,3244.414538821864,5768.423450080099,inf,776.9145440282554,1959.6310949086,3144.150510457317,3490.7693062068515,inf
carcinoma_FA_HN11A_5_tumorales.csv,8431.56396375323,5764.113687567472,0.0,8186.230812974918,3685.5772483157557,2300.6034337018405,2107.2794486490907,3940.8801731911776,4254.6897734724835,2184.418684740225,8795.293240165081,inf,4454.818214711963,941.6500816034327,3057.1015161901773,1796.820825862629,5881.882848463297,inf,2218.5000168011197,6235.445848671899,3198.335209523546,7782.800898923628,3717.624581776096,1677.6549729048056,657.8372630532847,924.574738321348,486.01048321178007,inf,3986.6819005328994,10831.15334704794,1306.536953804285,2878.3341164622084,9653.864312356744,5224.063111646447,2079.0401791983136,2722.848501213205,3706.0860415235043,7033.466514725242,738.5647871433596,inf,6030.4798323417635,4252.19982766446,3291.1026819209137,2300.1021911289654,inf
stroma_ad_dysplasia_FA_HN14_3_tumorales.csv,6468.393101189138,2508.6705843936224,8186.230812974918,0.0,4895.731048188161,9153.434746406108,6162.1440441210925,4274.184424974135,3982.9611582066605,6220.806762178849,1854.3819280653422,inf,3879.6584941896303,7299.302828997056,5256.886513103791,9157.499089364546,3676.819280122689,inf,9070.937246910533,2298.873191383306,5040.0320959609535,5289.596459583869,5204.90812439869,9299.331731628392,8535.374413672193,8280.700917188089,7848.5723229537725,inf,4363.570254592114,4758.823941405049,8885.550893918788,5480.585652122809,4019.805875178099,4393.890382493724,9111.528654009215,5841.753621894574,4610.379071943582,2850.303569041589,8186.960958253327,inf,2341.499678334922,4268.416192950014,5253.816173213323,5910.303370704343,inf
stroma_ad_dysplasia_FA_HN14_4_tumorales.csv,5582.924886247294,3026.3542028577112,3685.5772483157557,4895.731048188161,0.0,4317.804053174426,1596.6061253387086,1792.0360678135257,2093.1022342909505,1670.8494681001573,6047.175836966691,inf,1761.3197937889754,2781.3073225051035,1023.5481309680683,4337.464774571955,2487.0483735472585,inf,4237.17980233893,3264.8625616894415,1564.1217917760541,4625.387889584169,745.81306632425,4502.776557019563,4023.733545067463,3520.949472096242,3466.3530337719762,inf,2079.8942230099333,7237.763632637458,4125.475340499085,1190.0546871011256,6231.729705963696,2245.4416320059677,4274.098320886685,1051.9125274912121,995.9145701735595,3566.410647536446,3741.8706809179175,inf,3161.532923138432,1198.200561432286,555.351666509823,2282.032063650003,inf
stroma_ad_dysplasia_FA_HN15_1_tumorales.csv,7831.035662340197,6775.429250617205,2300.6034337018405,9153.434746406108,4317.804053174426,0.0,3363.7285930792486,5201.679699886509,5265.472150645863,3400.927085164974,9929.469576895233,inf,5658.477287661912,2604.6378824312937,4003.1317130726757,873.0540502371663,6059.9156374094155,inf,87.7110517609785,7315.597531735159,4530.944741421131,7575.899513248432,3969.802109057096,768.5996802647667,2327.0464934695933,1521.824220149766,2367.6878736260373,inf,5568.504016796469,10973.02393735702,1077.5947027281727,4068.335534574268,10364.205511391185,5262.595330980871,266.300946736724,3340.905568563582,4859.813124480753,7381.299704850746,1729.2566392006865,inf,7116.187686662313,4919.557994051044,4005.5127547133125,3683.923304876107,inf
carcinoma_FA_HN11A_2_tumorales.csv,6591.348718775327,3737.789445752651,2107.2794486490907,6162.1440441210925,1596.6061253387086,3363.7285930792486,0.0,1993.6951091073115,2323.397014956056,509.92442834570693,6780.55121662977,inf,2501.170226445058,1247.827657594801,1028.3715614351074,3145.615039027874,3827.909570481634,inf,3280.683514043826,4177.906023918459,1369.1653300936282,5806.801639101395,1648.856619135095,3187.378363518767,2479.717768340459,2190.1139028322987,1944.1444289178514,inf,2283.7784852876794,8740.417021902933,2746.948578156859,936.6838420767203,7717.126191162805,3243.4424036586333,3281.319748914044,727.905017578395,1676.7672807456913,4946.538293652371,2165.0187625666904,inf,4053.31041409926,2178.324025381887,1233.8706737819202,1612.8019821923199,inf
dysplasia_FA_HN15_1_tumorales.csv,6758.462527299426,1866.5254267649645,3940.8801731911776,4274.184424974135,1792.0360678135257,5201.679699886509,1993.6951091073115,0.0,726.2062945429539,2124.7915512365444,4938.707836530598,inf,997.8068733800765,3056.5641051401376,1344.7621443258604,5039.511126787745,3347.858895216328,inf,5119.459796112249,2707.6323057985437,865.5156671436055,5636.505008462056,2035.2950380140956,5100.016155999027,4300.028446191546,4101.719345489057,3623.656857570175,inf,846.0299850199876,7499.119635359609,4656.987887640082,1965.9265295392875,6309.191229303098,3484.8447567015974,5120.139044213732,2119.1654306022056,1604.424853070273,3921.1017724086664,3941.92549788263,inf,2280.5669418563784,1297.1566863563357,1756.9787825129424,1736.9329960350344,inf
carcinoma_FA_HN14_2_tumorales.csv,7161.8864606351035,1638.0244565368632,4254.6897734724835,3982.9611582066605,2093.1022342909505,5265.472150645863,2323.397014956056,726.2062945429539,0.0,2513.876368789863,4852.097146236406,inf,1206.4901989234672,3373.5096834302344,1517.5953077698523,5256.044082854881,3756.6367424496602,inf,5183.517347077427,2951.496663891475,1141.0923492088284,6045.141213213379,2388.630311337794,5377.78279695688,4605.7885910155,4362.924552082592,3939.5776385765266,inf,782.2965940813656,7618.231099527141,4957.1145816898015,2519.3376629732225,6446.717118267523,3873.377304673103,5223.844584367035,2277.6506881889713,2165.551743576658,4212.770677450361,4253.78705447985,inf,2102.893256117449,1695.1853252896647,1948.6858842630645,1992.156523140255,inf
carcinoma_FA_HN11A_4_tumorales.csv,6337.020054943453,3798.206762974285,2184.418684740225,6220.806762178849,1670.8494681001573,3400.927085164974,509.92442834570693,2124.7915512365444,2513.876368789863,0.0,6822.952789782372,inf,2476.7046046028136,1500.900820544425,1264.4991836248455,3140.820298080229,3742.408274288428,inf,3318.060521202447,4221.160446539165,1542.2508156558654,5625.889383952669,1619.6002069160252,3137.3686961997805,2554.3515903688203,2192.696187649382,2097.237904193734,inf,2397.4020667102886,8731.670371623473,2691.3768200475333,835.4186340858814,7700.9552392978585,3070.6602449709853,3281.7283116195044,875.7747182189531,1716.0050518748967,4932.254214878977,2229.2873153049363,inf,4066.9953692101435,2184.0177441579485,1465.38295743199,1996.8978353236162,inf
