,dysplasia_FA_HN14_2_mac.csv,stroma_ad_carcinoma_FA_HN14_5_mac.csv,stroma_ad_dysplasia_FA_HN11A_4_mac.csv,stroma_ad_carcinoma_FA_HN14_2_mac.csv,dysplasia_FA_HN15_5_mac.csv,dysplasia_FA_HN11A_5_mac.csv,dysplasia_FA_HN15_2_mac.csv,dysplasia_FA_HN15_1_mac.csv,stroma_ad_carcinoma_FA_HN11A_2_mac.csv,carcinoma_FA_HN14_3_mac.csv,stroma_ad_dysplasia_FA_HN14_4_mac.csv,carcinoma_FA_HN11A_3_mac.csv,stroma_ad_carcinoma_FA_HN15_2_mac.csv,carcinoma_FA_HN14_2_mac.csv,carcinoma_FA_HN14_4_mac.csv,stroma_ad_carcinoma_FA_HN15_1_mac.csv,stroma_ad_dysplasia_FA_HN11A_1_mac.csv,carcinoma_FA_HN14_1_mac.csv,dysplasia_FA_HN11A_2_mac.csv,stroma_ad_dysplasia_FA_HN15_3_mac.csv,stroma_ad_carcinoma_FA_HN14_1_mac.csv,stroma_ad_carcinoma_FA_HN11A_1_mac.csv,stroma_ad_dysplasia_FA_HN15_4_mac.csv,carcinoma_FA_HN11A_4_mac.csv,stroma_ad_dysplasia_FA_HN11A_2_mac.csv,stroma_ad_carcinoma_FA_HN14_4_mac.csv,dysplasia_FA_HN14_1_mac.csv,stroma_ad_carcinoma_FA_HN15_3_mac.csv,stroma_ad_dysplasia_FA_HN15_1_mac.csv,stroma_ad_dysplasia_FA_HN14_1_mac.csv,dysplasia_FA_HN11A_3_mac.csv,dysplasia_FA_HN11A_4_mac.csv,stroma_ad_dysplasia_FA_HN11A_3_mac.csv,stroma_ad_dysplasia_FA_HN14_3_mac.csv,stroma_ad_carcinoma_FA_HN15_4_mac.csv,stroma_ad_carcinoma_FA_HN14_3_mac.csv,stroma_ad_dysplasia_FA_HN15_2_mac.csv,stroma_ad_dysplasia_FA_HN15_5_mac.csv,carcinoma_FA_HN15_2_mac.csv,dysplasia_FA_HN11A_1_mac.csv,stroma_ad_dysplasia_FA_HN11A_5_mac.csv,carcinoma_FA_HN11A_2_mac.csv,dysplasia_FA_HN15_3_mac.csv,carcinoma_FA_HN11A_1_mac.csv,carcinoma_FA_HN11A_5_mac.csv,stroma_ad_dysplasia_FA_HN14_2_mac.csv,carcinoma_FA_HN15_1_mac.csv
dysplasia_FA_HN14_2_mac.csv,0.0,437.64431786677187,inf,540.5684698629226,1129.3272419386535,inf,inf,1367.8847862590167,867.7978750232988,48.85655329637656,498.6308081516821,703.0462390152321,inf,inf,inf,1051.7201372090726,733.703567915017,inf,inf,inf,608.5501967422823,989.4122021448549,1025.8730174131606,inf,704.0489961092243,453.3292634875294,46.55070863698757,inf,984.0454582591955,713.5717864704104,inf,inf,579.8426737214812,inf,1140.0830817185765,585.8716558767738,840.9279512570691,990.7236627733976,inf,inf,715.5732948613525,inf,inf,671.0705963013089,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_5_mac.csv,437.64431786677187,0.0,inf,489.80048149810557,1095.2148973748654,inf,inf,1136.1442782587071,667.6210606472359,448.77863986777896,537.4415977157684,604.852558705757,inf,inf,inf,843.8505806190228,595.3733725315988,inf,inf,inf,495.4529735027942,1126.813495754512,1110.426188383281,inf,597.6777701493928,357.0535943795861,435.58694429869576,inf,1003.0705369422985,553.5680883659392,inf,inf,426.0087793405883,inf,850.538527582903,478.28162236009587,652.4066299516186,1146.1714618776764,inf,inf,741.1747706161868,inf,inf,489.3740199905051,inf,inf,inf
stroma_ad_dysplasia_FA_HN11A_4_mac.csv,inf,inf,0.0,inf,inf,inf,637.2246568419727,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,840.1933630830143,inf,inf,inf,inf,684.9958328372874,inf,inf,inf,inf,inf,inf,inf,513.6861172685474,inf,inf,inf,inf,inf,inf,inf,inf,inf,421.8869838554424,inf,inf,415.5601722610352,408.9963987947847,646.5319819602215
stroma_ad_carcinoma_FA_HN14_2_mac.csv,540.5684698629226,489.80048149810557,inf,0.0,864.1880833226899,inf,inf,939.8664079097919,502.36851413014415,565.1429373346092,456.6417559340969,455.8274286257056,inf,inf,inf,691.3407217464382,413.15312087364003,inf,inf,inf,366.4069963412933,946.6210804760965,856.3179747429814,inf,342.65063432071264,543.0867108490626,535.1284295461496,inf,711.664042017135,413.2080721980159,inf,inf,380.3193071674573,inf,734.8241862345678,333.229083646481,558.2121060431559,1002.5813412631477,inf,inf,509.4186301016276,inf,inf,548.9095618040553,inf,inf,inf
dysplasia_FA_HN15_5_mac.csv,1129.3272419386535,1095.2148973748654,inf,864.1880833226899,0.0,inf,inf,712.0944561626835,737.1157892662118,1150.504636611105,844.4320000612486,756.7720871238006,inf,inf,inf,849.8989779955452,755.6595948762283,inf,inf,inf,822.9358702927117,882.9593038974192,640.6194353999747,inf,738.1212215642057,1148.175546153207,1110.4199772819939,inf,437.65158518828247,887.9879696620192,inf,inf,895.9947565756706,inf,644.7287578809687,857.0644375486849,813.0064859016718,1061.4715216946822,inf,inf,731.1860420287076,inf,inf,901.2618879180819,inf,inf,inf
dysplasia_FA_HN11A_5_mac.csv,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,735.0423193346686,inf,inf,inf,inf,inf,inf,673.60181490683,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
dysplasia_FA_HN15_2_mac.csv,inf,inf,637.2246568419727,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1057.5838708900392,inf,inf,inf,inf,921.1858636536857,inf,inf,inf,inf,inf,inf,inf,829.6833058130875,inf,inf,inf,inf,inf,inf,inf,inf,inf,794.2799385040728,inf,inf,768.8206440128263,707.9953070649113,703.2620336205955
dysplasia_FA_HN15_1_mac.csv,1367.8847862590167,1136.1442782587071,inf,939.8664079097919,712.0944561626835,inf,inf,0.0,742.4025883567983,1387.8154083665554,1123.8422841516651,881.3805310002028,inf,inf,inf,702.1922900596409,849.7866687639357,inf,inf,inf,884.29670729401,1145.4330172339855,998.6293021341331,inf,816.3584845083265,1203.4984353935276,1357.0927503771475,inf,753.4905474369251,851.456236502234,inf,inf,989.9325067099417,inf,623.9993007146558,896.6243635645543,832.5410201096404,1403.5506530363568,inf,inf,962.8352328785588,inf,inf,1062.1627896842804,inf,inf,inf
stroma_ad_carcinoma_FA_HN11A_2_mac.csv,867.7978750232988,667.6210606472359,inf,502.36851413014415,737.1157892662118,inf,inf,742.4025883567983,0.0,897.6423224193026,620.8918897090072,498.2954565484098,inf,inf,inf,612.3370529057418,444.43619271709684,inf,inf,inf,489.59178875577476,928.6828513349188,774.0816306595001,inf,471.66019346859844,743.9175824393834,862.1148394928912,inf,632.3696243835456,495.78343755425,inf,inf,515.4520715210268,inf,513.6381209987891,527.8717289646064,658.9896233445688,1096.1744195867452,inf,inf,592.8872157596428,inf,inf,590.5299625501085,inf,inf,inf
carcinoma_FA_HN14_3_mac.csv,48.85655329637656,448.77863986777896,inf,565.1429373346092,1150.504636611105,inf,inf,1387.8154083665554,897.6423224193026,0.0,517.7084104194089,722.3228266419973,inf,inf,inf,1061.0728195403544,757.2054575035029,inf,inf,inf,632.8121347440446,1025.5070743790309,1070.7233377698476,inf,731.6282533675204,452.05588143305266,68.86936711872494,inf,1015.6944548844305,721.6868596893393,inf,inf,601.5692521516916,inf,1153.8447467317376,613.7556129814357,848.8264210528957,1027.9973216041137,inf,inf,753.2219365799943,inf,inf,678.2829343920455,inf,inf,inf
