,topology_carcinoma_1_clean_mac.csv,topology_ad_carcinoma_11_clean_mac.csv,topology_ad_carcinoma_9_clean_mac.csv,topology_dysplasia_16_clean_mac.csv,topology_carcinoma_19_clean_mac.csv,topology_ad_carcinoma_5_clean_mac.csv,topology_dysplasia_5_clean_mac.csv,topology_ad_carcinoma_13_clean_mac.csv,topology_carcinoma_11_clean_mac.csv,topology_carcinoma_5_clean_mac.csv,topology_carcinoma_16_clean_mac.csv,topology_ad_carcinoma_6_clean_mac.csv,topology_carcinoma_15_clean_mac.csv,topology_carcinoma_10_clean_mac.csv,topology_ad_dysplasia_2_clean_mac.csv,topology_carcinoma_3_clean_mac.csv,topology_dysplasia_4_clean_mac.csv,topology_carcinoma_12_clean_mac.csv,topology_dysplasia_6_clean_mac.csv,topology_dysplasia_8_clean_mac.csv,topology_dysplasia_18_clean_mac.csv,topology_dysplasia_7_clean_mac.csv,topology_carcinoma_2_clean_mac.csv,topology_ad_carcinoma_15_clean_mac.csv,topology_carcinoma_4_clean_mac.csv,topology_ad_carcinoma_4_clean_mac.csv,topology_ad_dysplasia_7_clean_mac.csv,topology_ad_carcinoma_1_clean_mac.csv,topology_dysplasia_9_clean_mac.csv,topology_carcinoma_20_clean_mac.csv,topology_ad_carcinoma_12_clean_mac.csv,topology_ad_dysplasia_1_clean_mac.csv,topology_dysplasia_1_clean_mac.csv,topology_ad_dysplasia_8_clean_mac.csv,topology_ad_dysplasia_6_clean_mac.csv,topology_carcinoma_18_clean_mac.csv,topology_dysplasia_11_clean_mac.csv,topology_ad_carcinoma_7_clean_mac.csv,topology_ad_carcinoma_2_clean_mac.csv,topology_ad_dysplasia_5_clean_mac.csv,topology_carcinoma_6_clean_mac.csv,topology_dysplasia_10_clean_mac.csv,topology_dysplasia_12_clean_mac.csv,topology_ad_dysplasia_3_clean_mac.csv,topology_carcinoma_8_clean_mac.csv,topology_dysplasia_19_clean_mac.csv,topology_dysplasia_17_clean_mac.csv,topology_dysplasia_14_clean_mac.csv,topology_ad_dysplasia_4_clean_mac.csv,topology_dysplasia_3_clean_mac.csv,topology_dysplasia_2_clean_mac.csv,topology_ad_carcinoma_8_clean_mac.csv,topology_carcinoma_17_clean_mac.csv,topology_carcinoma_9_clean_mac.csv,topology_ad_carcinoma_14_clean_mac.csv,topology_carcinoma_14_clean_mac.csv,topology_ad_carcinoma_10_clean_mac.csv,topology_dysplasia_15_clean_mac.csv,topology_carcinoma_7_clean_mac.csv,topology_ad_dysplasia_9_clean_mac.csv,topology_ad_carcinoma_3_clean_mac.csv,topology_dysplasia_13_clean_mac.csv,topology_ad_dysplasia_10_clean_mac.csv,topology_carcinoma_13_clean_mac.csv
topology_carcinoma_1_clean_mac.csv,1.2390908888724317e-308,100.67176276622519,76.4318205484308,80.9054280552343,95.51545624356885,88.36186308510742,124.11688363742775,71.30795756558462,40.58491541724027,63.40541578103006,46.39583445215911,91.12894237532666,83.82534337886216,52.915964211971314,88.03311620183922,57.768857051069546,114.1772624726554,59.57132239254423,94.94269469432541,113.68292686318131,100.30572932467427,107.1236152623222,51.41651788400287,100.30572932467427,46.03816527285403,100.30572932467427,90.6213435439245,100.30572932467427,145.13919323304202,32.07006112894517,100.23688356105006,73.66520983896339,51.62855386260853,100.67176276622519,82.73968197167599,63.55964241199024,60.15312721548746,75.18186050832861,75.9088424121446,100.67176276622519,62.404564573795454,89.604499013608,92.45797378489618,100.30572932467427,51.40357340213012,100.30572932467427,97.1466473773778,97.5266648503349,100.67176276622519,105.49373732788166,106.5907622849198,60.934164019226216,65.86744445516916,40.42969030577872,77.56060162603501,100.67176276622519,75.83928143142259,100.67176276622519,94.281745647906,100.67176276622519,89.97150206417422,88.06708217534663,66.43808236131153,47.98545545019755
topology_ad_carcinoma_11_clean_mac.csv,100.67176276622519,1.8055693867021355e-308,48.74017458709518,37.59617442681332,99.83233275933037,47.42997439387521,124.11688363742775,51.192950055719336,84.23126324504415,81.42233578946932,96.85825541247993,40.78893034192453,110.33897047093922,73.79502085829537,66.15477965642856,77.31139378580966,101.83870070375343,85.4600890102414,34.117209205497545,85.43144988522812,50.779136205407866,107.1236152623222,85.08467733163826,72.22352040546366,86.6120633818372,49.92595744356679,48.79313345253678,43.16711719706602,145.13919323304202,105.63338339765966,38.711134364426954,60.578221991485606,83.53322594556946,43.16711719706602,65.24070966174051,62.1974786565782,63.33436077952362,45.76880246630719,41.75383163250791,43.16711719706602,94.79537246783977,80.12752726742917,78.6978266729825,96.7750754312249,88.67922640522158,48.19128834335197,29.832671184297567,64.36997391093908,43.16711719706602,90.77269914263968,106.5907622849198,88.53592722108868,62.91550615018947,78.06331129109708,44.637377425313844,46.91011506857177,60.11509102275457,43.167117197066034,80.74589890500113,43.16711719706602,76.83649788692529,51.485825345476655,66.79339642148165,87.1678743986827
topology_ad_carcinoma_9_clean_mac.csv,76.4318205484308,48.74017458709518,1.4208385462116947e-308,43.562288570984094,121.28165274611482,32.37210518574105,124.11688363742775,28.53188829465597,58.75518984204197,57.884324831387744,66.79463221439113,48.74017458709518,82.03223578364953,46.25680098058044,46.17132605673146,46.035251340075064,114.1772624726554,54.18359507826801,45.79643931223353,113.68292686318131,50.779136205407866,107.1236152623222,50.42430575727451,43.12019371441153,71.54435301421441,42.41298895078057,37.79138049954389,43.53090755257762,145.13919323304202,60.723008263810186,48.74017458709518,48.03623821037621,64.08185912918665,48.74017458709518,37.472203723227324,46.782974478430475,45.898321645441285,32.66488282575412,43.12019371441153,48.74017458709518,71.82536228315826,89.60449901360798,79.82669250696853,53.45799757016778,58.66105328449828,85.45129535501505,57.78808659719354,43.12019371441153,48.74017458709518,105.49373732788166,106.5907622849198,43.24571314319485,47.924022375981565,53.068385262535884,38.03897020894266,48.74017458709518,42.81044968997884,53.76425385520963,85.91908963414895,43.12019371441153,89.44870402477696,51.485825345476655,38.468531523566355,73.12603867690882
topology_dysplasia_16_clean_mac.csv,80.9054280552343,37.59617442681332,43.562288570984094,1.4371799704450727e-308,79.89685517117829,49.435772138773814,124.11688363742775,41.029297250880745,74.16414217904818,73.35385552952764,78.61371398713868,56.58080886672582,104.80644349077221,55.55047943295412,57.23825815427762,54.95144871362601,114.1772624726554,64.02013030709708,47.790703155373535,113.68292686318131,50.779136205407895,107.1236152623222,77.18462615897062,54.248183683077144,71.54435301421441,49.92595744356679,44.207556340272276,57.23825815427762,145.13919323304202,92.74096289614218,57.23825815427762,57.23825815427762,64.88428899593325,57.23825815427762,37.45378618899608,60.99242463468485,54.51212247185822,57.23825815427762,56.11520545845252,57.23825815427762,77.69427490581575,89.60449901360798,88.6707271935266,81.92048992053085,63.14197011468727,85.45129535501505,57.78808659719354,49.93002907292629,57.23825815427762,105.49373732788166,106.5907622849198,75.68189491436809,52.34979938204381,64.98418053975482,46.221171382162936,57.23825815427762,41.29379421622892,57.23825815427762,76.16032179273662,57.23825815427762,96.74719211979038,51.485825345476655,57.23825815427762,76.70245887526531
topology_carcinoma_19_clean_mac.csv,95.51545624356885,99.83233275933037,121.28165274611482,79.89685517117829,1.093437972110172e-308,126.82980452717328,124.11688363742775,118.42332963928021,101.93022224288546,94.86666700672481,75.71869278921878,134.3001730418565,67.58631752562735,99.14911182698393,134.7949564360427,125.78994105200661,102.49950691382844,82.60208354122648,99.88084722610284,122.27260816119818,118.73456682412467,107.86631629067358,98.8858201926488,101.6716915691045,98.33807532144033,127.1828526757028,116.05540527758316,134.7949564360427,145.13919323304202,83.35340152579147,134.7949564360427,134.7949564360427,104.47262824599528,134.7949564360427,113.60141627184555,94.76530525667192,94.70228229085961,134.7949564360427,133.509237846852,134.7949564360427,78.06315615769887,96.1757773132403,62.58415183615023,94.17387450140279,115.56862826773994,134.7949564360427,104.3541012267045,90.73346869092441,134.7949564360427,105.49373732788166,106.59076228491983,100.41246950756556,112.65349281099088,111.11018388217883,105.69554116085166,134.7949564360427,99.47956464406246,134.7949564360427,79.89685517117829,134.7949564360427,51.38532430764411,117.56099593792771,134.7949564360427,133.05631767322825
topology_ad_carcinoma_5_clean_mac.csv,88.36186308510742,47.42997439387521,32.37210518574105,49.435772138773814,126.82980452717328,1.3695925600045463e-308,111.57354851955745,47.30911162289573,64.37895052774743,63.45729749993478,56.83875812206992,47.42997439387521,102.32711704247089,50.74398243334463,58.74760053549261,69.65257470275273,112.145697348711,78.7212562962238,48.24010804416673,113.68292686318131,50.779136205407866,107.1236152623222,50.42430575727451,27.395763001684173,75.78880217656621,35.23965460097688,50.59441413297611,47.42997439387521,145.13919323304202,72.9304150061871,47.42997439387521,41.83779249267613,65.55897851971304,47.42997439387521,50.04847820198847,63.559642411990225,57.43271945950775,38.72788118621881,26.68045470617392,47.42997439387521,77.69427490581575,70.26506706202423,100.19357914016987,66.03427204892893,71.23732776325943,85.45129535501505,57.78808659719354,49.93002907292629,47.42997439387521,105.49373732788166,106.5907622849198,55.79457063481925,51.826114614937694,56.94089234565769,54.27530110418763,47.42997439387521,45.81957258594349,47.42997439387523,106.36350608773455,46.107254349581325,105.97319149118266,46.79432440658968,56.35563339940626,80.69626410307188
topology_dysplasia_5_clean_mac.csv,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,111.57354851955745,1.625113049170818e-308,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,100.90062340672381,124.11688363742775,120.07758598451665,78.84839270893565,108.88687403335638,83.35516880776817,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,113.18582904584684,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,100.5680210369465,91.53064706886317,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,124.11688363742775,80.48289247093442,124.11688363742775,124.11688363742775
topology_ad_carcinoma_13_clean_mac.csv,71.30795756558462,51.192950055719336,28.53188829465597,41.029297250880745,118.42332963928021,47.30911162289573,124.11688363742775,1.630508249995604e-308,47.20978741374762,56.813118944668304,58.303219356193665,53.197813844026285,90.94917869977292,48.50253925197538,53.197813844026285,45.41416567338072,114.1772624726554,41.378794273642825,51.05432123573962,113.68292686318131,53.197813844026285,107.1236152623222,50.42430575727451,48.00953246464897,58.73489665704341,38.36885861338595,60.174015773187534,53.197813844026285,145.13919323304202,69.80121099377803,53.197813844026285,46.22507927222,66.23816123013796,53.197813844026285,30.411000874747145,63.559642411990225,54.51212247185822,25.629425250087706,32.89829965821265,53.197813844026285,59.45368291122912,89.60449901360798,100.19357914016987,62.90506803651985,50.874841885664466,85.45129535501505,57.78808659719354,49.93002907292629,53.197813844026285,105.49373732788166,106.5907622849198,52.665366622410176,42.9595710594578,46.16406241734353,56.57086886147829,53.197813844026285,39.425741382218405,53.76425385520963,106.36350608773455,53.197813844026285,105.97319149118266,51.485825345476655,38.468531523566355,68.35437738167454
topology_carcinoma_11_clean_mac.csv,40.58491541724027,84.23126324504415,58.75518984204197,74.16414217904818,101.93022224288546,64.37895052774743,124.11688363742775,47.20978741374762,1.5729616380996163e-308,52.8924223152585,46.39583445215911,83.97459632020386,83.82534337886216,43.033988811375536,75.12240469988382,38.00685401923471,114.1772624726554,33.83715623260059,72.82788735358136,113.68292686318131,84.23126324504415,107.1236152623222,37.85861841268465,76.45515979795033,46.03816527285403,77.2684453273896,67.40952560833122,78.38636392918664,145.13919323304202,32.771932474276994,84.23126324504415,65.48800895016944,64.7612308128733,84.23126324504415,57.00551581173235,63.55964241199024,54.51212247185822,55.79101785042454,53.37584762110595,84.23126324504415,46.225291591670384,89.60449901360798,98.648439415204,76.45515979795033,32.391054203734825,85.45129535501505,84.23126324504415,71.79249869039126,84.23126324504415,105.49373732788166,106.5907622849198,48.02345251727081,54.087026692107514,44.68713200007886,64.6498901240796,84.23126324504415,50.10511527147895,84.23126324504415,100.69651164722262,76.45515979795033,96.38626806349083,58.853371808202155,42.733991254399996,42.663538272127724
topology_carcinoma_5_clean_mac.csv,63.40541578103006,81.42233578946932,57.884324831387744,73.35385552952764,94.86666700672481,63.45729749993478,124.11688363742775,56.813118944668304,52.8924223152585,1.9284201688040054e-308,51.33657505187108,81.42233578946932,80.60190232530204,46.726346119008724,52.8924223152585,41.442661625155665,114.1772624726554,52.8924223152585,69.6055375612992,113.68292686318131,81.42233578946932,107.1236152623222,36.333675744037976,67.02122347527214,50.83235487248885,54.2391544947793,66.18057510818923,81.42233578946932,145.13919323304202,61.89866920922347,78.46442263356863,52.8924223152585,55.59580950223389,81.42233578946932,59.46970862357128,56.10417018243203,56.32816550379036,53.187009804934306,61.06751783310247,81.42233578946932,48.78281766077262,89.60449901360798,91.58488417904334,67.46211361809995,52.8924223152585,85.45129535501505,81.42233578946932,75.14397467275145,72.75741616110264,105.49373732788166,106.5907622849198,44.76282483785562,52.8924223152585,45.90314939093096,62.79049659938846,69.06179530720007,56.62467480139196,81.42233578946932,93.63295641106197,81.42233578946932,89.32271282733018,65.82494609595315,47.205728061767786,62.35785341364816
