,topology_ad_carcinoma_2_clean_tumorales.csv,topology_ad_dysplasia_1_clean_tumorales.csv,topology_carcinoma_4_clean_tumorales.csv,topology_dysplasia_10_clean_tumorales.csv,topology_ad_carcinoma_12_clean_tumorales.csv,topology_ad_carcinoma_8_clean_tumorales.csv,topology_ad_dysplasia_5_clean_tumorales.csv,topology_dysplasia_17_clean_tumorales.csv,topology_ad_dysplasia_3_clean_tumorales.csv,topology_carcinoma_10_clean_tumorales.csv,topology_carcinoma_20_clean_tumorales.csv,topology_ad_dysplasia_4_clean_tumorales.csv,topology_carcinoma_19_clean_tumorales.csv,topology_dysplasia_12_clean_tumorales.csv,topology_carcinoma_12_clean_tumorales.csv,topology_dysplasia_15_clean_tumorales.csv,topology_ad_carcinoma_15_clean_tumorales.csv,topology_dysplasia_9_clean_tumorales.csv,topology_carcinoma_11_clean_tumorales.csv,topology_carcinoma_5_clean_tumorales.csv,topology_carcinoma_1_clean_tumorales.csv,topology_dysplasia_18_clean_tumorales.csv,topology_ad_dysplasia_10_clean_tumorales.csv,topology_dysplasia_14_clean_tumorales.csv,topology_dysplasia_16_clean_tumorales.csv,topology_carcinoma_9_clean_tumorales.csv,topology_carcinoma_17_clean_tumorales.csv,topology_carcinoma_18_clean_tumorales.csv,topology_ad_carcinoma_7_clean_tumorales.csv,topology_carcinoma_6_clean_tumorales.csv,topology_ad_carcinoma_14_clean_tumorales.csv,topology_dysplasia_19_clean_tumorales.csv,topology_carcinoma_3_clean_tumorales.csv,topology_dysplasia_4_clean_tumorales.csv,topology_ad_carcinoma_4_clean_tumorales.csv,topology_ad_carcinoma_10_clean_tumorales.csv,topology_ad_carcinoma_1_clean_tumorales.csv,topology_dysplasia_1_clean_tumorales.csv,topology_dysplasia_13_clean_tumorales.csv,topology_ad_carcinoma_6_clean_tumorales.csv,topology_ad_carcinoma_5_clean_tumorales.csv,topology_ad_carcinoma_13_clean_tumorales.csv,topology_dysplasia_11_clean_tumorales.csv,topology_dysplasia_2_clean_tumorales.csv,topology_carcinoma_2_clean_tumorales.csv,topology_carcinoma_7_clean_tumorales.csv,topology_carcinoma_8_clean_tumorales.csv,topology_ad_dysplasia_6_clean_tumorales.csv,topology_carcinoma_15_clean_tumorales.csv,topology_ad_carcinoma_3_clean_tumorales.csv,topology_ad_dysplasia_9_clean_tumorales.csv,topology_ad_carcinoma_9_clean_tumorales.csv,topology_ad_carcinoma_11_clean_tumorales.csv,topology_dysplasia_7_clean_tumorales.csv,topology_dysplasia_6_clean_tumorales.csv,topology_dysplasia_5_clean_tumorales.csv,topology_carcinoma_14_clean_tumorales.csv,topology_dysplasia_3_clean_tumorales.csv,topology_carcinoma_13_clean_tumorales.csv,topology_ad_dysplasia_2_clean_tumorales.csv,topology_carcinoma_16_clean_tumorales.csv,topology_ad_dysplasia_7_clean_tumorales.csv,topology_dysplasia_8_clean_tumorales.csv
topology_ad_carcinoma_2_clean_tumorales.csv,0.0,1508.2596738138677,25795.6781038249,21754.248547210227,2253.4514812951534,inf,1971.2983519676761,16616.052421914195,2259.4368365870705,23588.349622619855,9320.067664237871,inf,22838.77065612673,15223.02211510472,16979.71262780971,9690.14068945916,1569.5444843671567,35038.09950787902,15989.294419991858,29783.86574463867,22609.388604910826,12546.561373177636,2259.4368365870705,8902.357495167254,6322.306335609346,21643.186503605724,6445.047788571418,16237.87113808639,inf,30156.04244334614,inf,18062.03786358497,15677.323648805066,34633.456553910946,inf,inf,712.3887651845276,16813.243111710588,17174.005114664793,1354.8687448338496,inf,1692.502655693892,15399.937377908936,27277.30511776823,28915.195160824205,15963.776323278158,16137.262376767152,1983.331898723597,26846.980930065667,2069.7167601218334,1656.9690757074948,1513.672792003343,inf,38074.49743988528,31222.60004796791,17012.87734253216,9451.999548552789,19977.30991640749,13772.051187549338,2259.4368365870705,17333.84345264107,inf,18261.953025584797
topology_ad_dysplasia_1_clean_tumorales.csv,1508.2596738138677,0.0,25326.923156499128,21211.727967858373,3298.1857512577285,inf,606.9920776262145,16031.63739708911,889.844685368651,23111.51919314987,9334.168107569518,inf,22372.525472482706,14703.416695187196,16523.771779285107,9163.501296678282,2632.6086893737647,34566.44935862698,15531.705294732212,29305.821307452974,22135.232664947598,11946.021436127867,889.844685368651,8381.682503314412,5737.185793252524,21161.573279486707,6284.3241682348635,15782.289172059687,inf,29589.32013823844,inf,17435.125317856855,15160.479931653163,34176.226149385635,inf,inf,1458.910208372974,16357.644229247971,16663.409741273925,809.6951238270941,inf,514.9167574195877,14904.724667239543,26821.486487164868,28444.60572808471,15443.66715136163,15664.707977118494,773.575571810007,26343.658389407392,762.5871187821456,698.1744692115269,2274.1163554701548,inf,37495.06822954185,30642.215456805203,16545.15981929157,8983.678199520456,19522.29068896625,13305.044027167658,889.844685368651,16918.330625636532,inf,17715.780836976337
topology_carcinoma_4_clean_tumorales.csv,25795.6781038249,25326.923156499128,0.0,11320.493610685024,24563.825377549878,inf,25245.921117553848,11890.910571170753,24928.97518980668,2825.3213683231857,21835.83881837413,inf,3341.7562617919366,10811.79763775831,9111.21070631409,16306.459993306435,25915.16100934455,15681.324687831784,10213.207936119245,4879.462460291533,3598.5393502524494,14579.121687099083,24928.97518980668,17075.914457649804,19874.917179730302,4563.228135773481,21023.98142676246,9743.247367491433,inf,14441.307833627074,inf,12248.792774226478,10363.30570416479,14764.875719860656,inf,inf,26213.249647830926,9371.588274678037,10719.170418990003,25895.686540493512,inf,25511.488510508203,10552.493398525135,8939.98466141154,5783.6048309111775,10043.432451023038,9827.405082269117,24777.200692760034,4841.595840861621,24786.215074894608,25400.012090923698,27102.39588395245,inf,30199.146140830573,21086.05714728439,8867.668787394901,16421.996172355186,6183.360117542251,12105.961977629004,24928.97518980668,11949.71558622075,inf,10587.533926261802
topology_dysplasia_10_clean_tumorales.csv,21754.248547210227,21211.727967858373,11320.493610685024,0.0,21221.607520739115,inf,21247.99626618613,5610.618334986945,20931.05033843896,12148.100092799601,22973.491653672983,inf,10683.717468064082,8394.222606658097,12305.335457675576,13195.91415436482,22235.844731489527,13692.279744417632,14289.686997136048,12506.445208480305,10583.90664689496,9691.124335648194,20931.05033843896,14261.857210431092,15890.74806922339,10306.66077005328,20510.89729375747,12932.45496303217,inf,8456.84972380927,inf,4299.220268203018,9921.630871869336,13057.802964823955,inf,inf,22190.255324147554,14318.009051421166,5844.515904428247,21739.954133754294,inf,21438.191073752798,9032.346802550652,7078.738242267662,9065.34447853514,9828.87378952771,14124.636910317278,20693.354162572403,8640.877349470395,20739.641684899863,21252.65844405261,22992.14396933258,inf,19598.653814734625,10482.36495814172,8189.283209639038,16672.390071036152,8603.906853361017,14007.847506764747,20931.05033843896,17444.60697276189,inf,4440.767487234824
topology_ad_carcinoma_12_clean_tumorales.csv,2253.4514812951534,3298.1857512577285,24563.825377549878,21221.607520739115,0.0,inf,3792.2849622664717,16213.03218990945,4092.0096592901136,22465.127107770746,7349.716686614925,inf,21689.064874143485,14420.139856006874,15665.734328902132,8831.750281139595,1486.8480118723842,33655.843480465584,14614.956474545244,28639.753297676933,21515.872814675407,12472.717281690126,4092.0096592901136,8045.060800816208,5987.626075667465,20586.326196777543,4746.1604327725745,14948.61062024941,inf,29459.550285544246,inf,17884.468364007895,14774.340827939961,33561.657035019096,inf,inf,2764.118751026608,15423.370746547665,16306.781649937,3388.327127523068,inf,3568.3466846980864,14465.904446564044,26007.404536314873,27839.784641538656,15017.019854331995,14935.387312929031,3777.7453956519394,25912.53415643499,3909.139997294764,3501.8504993549423,3370.379153925545,inf,37704.56836961828,30682.20223391063,15850.020645923347,8249.803372868884,18687.86045299016,12591.79874799038,4092.0096592901136,15636.158311841382,inf,17475.72470350558
topology_ad_carcinoma_8_clean_tumorales.csv,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,506.16306047818546,inf,inf,inf,870.5897923257719,1303.4763932269443,inf,inf,inf,inf,492.4270063094134,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2419.745183389754,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_ad_dysplasia_5_clean_tumorales.csv,1971.2983519676761,606.9920776262145,25245.921117553848,21247.99626618613,3792.2849622664717,inf,0.0,15699.832714735547,316.94592774717637,23082.050539532782,9711.343802856945,inf,22268.897778595565,14476.148731702458,16442.163831492213,8956.718273499784,3078.0447632130404,34785.17866092303,15492.640230514637,29177.093754382386,22041.54397621795,11581.355801244878,316.94592774717637,8188.5583315268905,5379.361399008647,20999.3816895433,6703.014277243259,15735.782236229245,inf,29305.454376711023,inf,17035.86117964164,14933.577047027606,34083.603902154806,inf,inf,1933.9308895259178,16352.474951234159,16546.884005346135,958.2450606446644,inf,299.193956566663,14747.52646327278,26845.256179204916,28307.768017871822,15253.74289704207,15507.73158047565,570.4429844539495,26179.075132305243,514.2030853714591,613.7756988855375,2696.5514553919347,inf,37168.73282438223,30368.121661059085,16546.809970695973,8884.580810017102,19552.62648149688,13214.759283301299,316.94592774717637,17198.037581661247,inf,17535.492533975015
topology_dysplasia_17_clean_tumorales.csv,16616.052421914195,16031.63739708911,11890.910571170753,5610.618334986945,16213.03218990945,inf,15699.832714735547,0.0,15382.88678698837,12217.38002376137,18743.548878746693,inf,11078.346432445445,5722.144103072021,9937.664962119925,8718.605292928283,17149.224483476926,19194.552019441602,11797.614263259231,15011.530472353335,10514.831431736819,4181.286384762736,15382.88678698837,9891.997166974284,10350.47755776274,10068.429430562599,16090.997644623572,10657.61163582336,inf,13632.243041796482,inf,2290.719173647817,7476.384032646183,18404.755507274236,inf,inf,17044.556613729128,12091.204372052933,2429.980364706508,16499.708214069728,inf,15965.400107689906,6355.140716079878,11194.334887993613,12819.86860391329,7534.448924048187,11653.387835017995,15331.255654336552,11436.258810230831,15335.779654506285,15919.244158483918,17785.68558527908,inf,22250.589882633813,14710.850696942753,5872.596160953165,12654.902060160508,7297.976733604174,11081.045852145136,15382.88678698837,14809.098837208903,inf,2343.6575374831914
topology_ad_dysplasia_3_clean_tumorales.csv,2259.4368365870705,889.844685368651,24928.97518980668,20931.05033843896,4092.0096592901136,inf,316.94592774717637,15382.88678698837,0.0,22765.104611785606,9481.884688634751,inf,21951.95185084839,14159.202803955282,16125.217903745035,8639.772345752608,3393.5447931136096,34560.24336342169,15175.69430276746,28860.14782663521,21724.598048470772,11264.409873497701,0.0,7871.612403779714,5062.415471261471,20682.435761796125,6615.937509753963,15418.836308482068,inf,28988.508448963847,inf,16718.915251894465,14616.63111928043,33766.65797440763,inf,inf,2228.727361258105,16035.529023486983,16229.938077598958,1246.980188962824,inf,582.5133207015338,14430.580535525603,26528.31025145774,27990.822090124646,14936.796969294894,15190.785652728475,325.03381160444457,25862.129204558067,197.25715762428274,643.9195369766667,2991.777193009268,inf,36851.78689663505,30051.17573331191,16229.864042948795,8567.634882269926,19235.680553749706,12897.813355554123,0.0,16881.09165391407,inf,17218.54660622784
topology_carcinoma_10_clean_tumorales.csv,23588.349622619855,23111.51919314987,2825.3213683231857,12148.100092799601,22465.127107770746,inf,23082.050539532782,12217.38002376137,22765.104611785606,0.0,20205.667172550897,inf,2185.6007146824936,8730.106387470683,7381.870608087671,14152.377650999415,23779.2675724021,17487.031796952884,8540.287563610576,6556.452729103286,2106.027070805067,13913.621324010575,22765.104611785606,14920.115979876255,17714.580565032335,2545.9167349697914,19223.846484157715,7927.589344361288,inf,16034.049650324841,inf,12891.191620069065,8216.288442668932,16515.993841635704,inf,inf,24004.469932825854,7705.954074767808,10638.499621807281,23648.017411481957,inf,23294.52567105155,8451.237746642946,10013.407759116324,7614.364669173876,7929.884547509371,7897.048394909127,22543.797310442125,6507.4763554526635,22573.000721287455,23160.71456741448,24881.28406940087,inf,31455.949606338185,22295.603793259583,7529.055663472998,14436.393940460377,5478.230237227755,10033.890849270707,22765.104611785606,10386.613924711706,inf,10925.910332770323
