dimension,birth,death
1,106.00431924410152,137.63738085997824
1,170.93924686023806,197.75312972447225
1,313.2729156712562,335.93338700277945
0,0.0,inf
0,0.0,292.70156105319154
0,0.0,258.0188812188693
0,0.0,224.0661572169961
0,0.0,168.43012295408795
0,0.0,166.45280408051227
0,0.0,142.47494318382044
0,0.0,132.80881480489393
0,0.0,129.46664401419645
0,0.0,103.8690729796437
0,0.0,99.32552634438375
0,0.0,98.14929813321979
0,0.0,97.50592214318183
0,0.0,95.57848231241246
0,0.0,88.706884032331
0,0.0,85.0221434870819
0,0.0,70.24109069298409
0,0.0,66.89528650768794
0,0.0,56.27647590306366
0,0.0,53.55649501435956
0,0.0,53.46674788437319
0,0.0,51.4796724439216
0,0.0,50.32407902422695
0,0.0,46.2062665614222
0,0.0,45.86180325723129
0,0.0,42.83667732139692
0,0.0,39.44514884186305
0,0.0,37.10739421163785
0,0.0,35.24125480521131
0,0.0,26.342584219579656
0,0.0,18.787592829297733
