,topology_carcinoma_10_clean.csv,topology_dysplasia_18_clean.csv,topology_ad_carcinoma_2_clean.csv,topology_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_dysplasia_5_clean.csv,topology_ad_carcinoma_3_clean.csv,topology_dysplasia_14_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_dysplasia_13_clean.csv,topology_dysplasia_17_clean.csv,topology_carcinoma_8_clean.csv,topology_dysplasia_10_clean.csv,topology_carcinoma_20_clean.csv,topology_dysplasia_11_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_carcinoma_13_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_carcinoma_9_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_carcinoma_4_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_dysplasia_8_clean.csv,topology_dysplasia_7_clean.csv,topology_carcinoma_17_clean.csv,topology_dysplasia_19_clean.csv,topology_carcinoma_5_clean.csv,topology_dysplasia_8_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_ad_carcinoma_11_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_dysplasia_12_clean.csv,topology_ad_dysplasia_1_clean.csv,topology_dysplasia_1_clean.csv,topology_ad_dysplasia_3_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_dysplasia_16_clean.csv,topology_dysplasia_15_clean.csv,topology_dysplasia_4_clean.csv,topology_ad_dysplasia_2_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv,topology_ad_dysplasia_6_clean.csv,topology_ad_dysplasia_9_clean.csv,topology_ad_carcinoma_14_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_ad_dysplasia_4_clean.csv,topology_dysplasia_6_clean.csv,topology_ad_dysplasia_10_clean.csv,topology_ad_dysplasia_5_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_carcinoma_10_clean.csv,8.86430787669188e-309,27.076652053900276,14.354738669467054,36.15540872295049,36.15540872295049,27.076652053900276,27.076652053900276,62.772538234259194,24.881685649846986,31.12433703144852,35.54597801569321,26.940351683853592,60.74573866662348,24.930062382449627,27.076652053900276,24.473009214026135,27.076652053900276,56.9135475182255,33.75283713372936,24.62939624820372,32.73547579574348,36.15540872295049,27.076652053900276,30.273120202685245,36.1554087229505,67.53156663087572,37.27318973973487,36.15540872295049,30.246220974239755,55.10455578689678,27.076652053900276,27.076652053900276,20.69463487173887,31.33196756778564,25.667929723700908,20.50794577631953,18.17654989293817,23.094239341835717,28.383436160565594,27.076652053900276,36.15540872295049,36.15540872295049,26.46601001413086,31.609030789599146,24.515789809364534,36.15540872295049,30.386929741144243,17.18395955929564,30.976116233415723,21.02164902898177,35.00574336388273,36.15540872295049,36.15540872295049,33.66690099147472,20.21098875674893,36.15540872295049,21.67145278673969,36.15540872295049,34.727705830026665,27.076652053900276
topology_dysplasia_18_clean.csv,27.076652053900276,7.19451295819724e-309,21.424537010870793,29.99181707343388,29.466987868451398,16.867609402584105,14.386669768512476,73.91348446706051,31.669558585620862,16.97003404654535,35.54597801569321,8.175291191191278,62.760461912404686,38.32373654388719,22.880789745715987,17.87838981846731,12.662114386539784,56.9135475182255,21.300946917482605,27.705823052276926,18.581172810840314,23.9365254659255,22.51929394711803,16.118817217782077,28.18397531701096,81.48609908711252,51.42749272463804,24.11300452283973,21.089751905216076,69.25885877179994,16.6621893365598,17.02405954377072,25.37918365327242,17.17766458288247,21.535071675694848,22.52197381298207,32.33085287784134,28.03853421931079,42.537739145468755,16.518949718954943,37.79902256578707,30.593055611113968,21.741704337812905,17.454727804695978,22.574478922470803,37.79902256578707,16.232626756241075,30.926726487857493,16.821813248512555,20.445378668547715,20.85144037897956,37.301878197422866,24.857190671638165,26.556334301914347,33.74605804055608,32.7061822241194,21.63056083021879,28.782142726995716,21.65514520818212,13.218968872310311
topology_ad_carcinoma_2_clean.csv,14.354738669467054,21.424537010870793,7.2823937215836e-309,27.80732388711149,27.807323887111494,19.002002949011498,19.002002949011494,73.91348446706051,31.669558585620862,18.70118694774383,35.54597801569321,22.32879022334232,62.760461912404686,33.940130664982846,19.002002949011494,17.50903114623116,23.25055336344465,56.9135475182255,26.596804586833464,27.025437647049998,19.261558216067243,24.616910871152427,15.873181712249732,26.234001486580567,27.807323887111494,81.00548421055194,50.747107319411114,24.79338992806666,21.770137310443005,68.57847336657301,22.46703014093542,15.444798704120934,13.998380790301027,19.002002949011498,19.002002949011498,16.022768438806587,31.650467472614405,27.35814881408386,41.857353740241834,19.002002949011498,27.84266867069485,27.807323887111494,15.223364518174307,20.19938846771322,17.815934650915466,27.807323887111494,27.807323887111494,12.191761667513404,19.405410563054915,14.127894395939386,21.53182578420649,27.807323887111494,25.537576076865093,20.19298341179848,17.333881263963065,27.807323887111494,13.637226320457982,27.807323887111494,22.33553061340905,19.002002949011494
topology_carcinoma_2_clean.csv,36.15540872295049,29.99181707343388,27.80732388711149,7.733179991579005e-309,9.291822013288389,32.08772778850498,27.919193523013515,73.91348446706051,43.84318873338588,13.425141871256315,35.54597801569321,23.247585608344718,62.760461912404686,53.10556343155928,38.8470927473638,23.075055511352886,38.24610771261244,56.9135475182255,12.625879597597034,40.92560494333103,12.315751930476637,7.1480054472837224,12.748566341141753,13.872999855651798,16.302907052832374,81.48609908711252,66.72508846756872,12.799149498877313,15.610338542014304,74.15479414395914,29.80880392202624,28.841775079539843,27.765403069938284,13.317722472960583,20.42115999964602,23.638174282017516,40.11432840686623,47.158899519579826,56.633768163613226,26.25902510272284,18.328482356026992,11.94715136545649,23.17164360641293,12.537089268737901,23.24125008326557,15.232735986428324,14.162549161560591,34.60990030841792,15.122806653697964,23.392172943331516,9.140376694454316,8.61854949883464,11.156508889950771,12.397746649883729,41.59692390902699,13.829161094381753,24.299375030609582,9.346992968173438,18.351239628830967,20.001100832395466
topology_ad_carcinoma_10_clean.csv,36.15540872295049,29.466987868451398,27.807323887111494,9.291822013288389,9.65887389514067e-309,32.08772778850498,27.394364318031037,73.91348446706051,43.84318873338588,13.551690104052751,35.54597801569321,22.722756403362236,62.760461912404686,53.10556343155928,38.322263542381314,22.550226306370405,37.72127850762996,56.9135475182255,13.237205236287828,40.92560494333103,12.195176730460261,11.497507757723952,12.748566341141753,13.38441073312947,15.149190263366236,81.48609908711252,66.72508846756872,12.799149498877313,15.610338542014304,74.15479414395914,29.28397471704376,28.316945874557362,27.240573864955806,13.94283537319132,18.767057095234275,23.11334507703503,40.11432840686623,47.158899519579826,56.633768163613226,25.734195897740364,20.201554962746027,11.865983199435874,22.91924646522727,12.01226006375542,22.71642087828309,19.547927028140364,13.234361112210323,34.60990030841792,13.736136063981746,22.867343738349035,11.21578950494304,12.977277042365008,11.180114175170045,11.149690729302556,41.59692390902699,11.44527761515927,24.299375030609582,9.346992968173438,18.351239628830964,19.476271627412984
topology_ad_carcinoma_9_clean.csv,27.076652053900276,16.867609402584105,19.002002949011498,32.08772778850498,32.08772778850498,1.731196885289785e-308,9.042762292916777,72.93861711455504,31.669558585620862,20.958258151152677,35.54597801569321,24.68568738886762,62.760461912404686,30.68161072132436,12.132171795308949,12.25606204282456,19.733003172800874,56.9135475182255,24.032838957311597,23.7175989476696,22.569396915447637,27.924749570532825,19.497302483096345,20.228990208910744,31.461967327269974,77.69764551117156,47.43926862003072,28.101228627447057,25.077976009823402,65.27063466719261,17.910102532648736,12.96423682475374,15.49311792327198,21.165888687489797,14.688154877824443,10.682286602730478,31.048907977095823,24.050310114703464,38.549515040861436,9.841779554585123,32.08772778850498,32.0780982502732,10.572205590291603,21.442951909303304,15.136974272952102,32.08772778850498,24.54408616748412,18.088331886619926,20.81003735311988,15.22864254145145,24.839664483586883,32.08772778850498,28.84541477624549,23.500822111178877,22.520425489116505,32.08772778850498,8.760719409104667,32.08772778850498,25.643369312789442,13.978940345645738
topology_dysplasia_5_clean.csv,27.076652053900276,14.386669768512476,19.002002949011494,27.919193523013515,27.394364318031037,9.042762292916777,1.956294023907073e-308,73.91348446706051,31.669558585620862,14.89741049612499,35.54597801569321,19.021946504028772,62.760461912404686,36.693139620630134,11.676921227970722,8.096583546717412,19.333653122147936,56.9135475182255,23.500982792332795,29.778446602697286,16.508549260419954,21.86390191550514,20.446670396697666,18.017597324249138,26.1113517665906,81.48609908711252,53.500116275058396,22.040380972419367,19.017128354795712,71.33148232222031,17.22376992858002,9.02651889559189,19.76577820974814,15.105041032462111,11.143616775271994,18.607789221607963,34.4034764282617,30.11115776973115,44.61036269588912,8.631117331779095,33.49055341562036,28.520432060693604,16.126461683150985,15.382104254275616,12.246090804275347,33.49055341562036,16.77730644958082,20.742488554708032,17.478503950043226,15.22864254145145,18.7788168285592,33.49055341562036,22.784567121217805,24.483710751493987,25.683013692716965,30.633558673699042,16.01531817555687,26.709519176575355,19.58252165776176,11.65364946522719
topology_ad_carcinoma_3_clean.csv,62.772538234259194,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706051,72.93861711455504,73.91348446706051,7.714241123298276e-309,45.80973583458372,73.91348446706051,64.43589447175876,72.31029431917727,40.611954894490204,42.30632514895259,68.07156554523245,73.91348446706051,68.6725505799838,37.82834873941063,73.91348446706051,49.221018166885436,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706053,42.858209784582655,40.61195489449021,73.91348446706051,73.61645762189184,40.61195489449021,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706051,44.59598834132103,48.88830699985158,40.61195489449021,73.91348446706053,73.91348446706051,73.91348446706053,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706051,73.91348446706051,65.67726462840295,73.91348446706053,73.91348446706051,73.91348446706051,68.58589104748664,73.91348446706053,73.91348446706051,61.51180461561245,73.91348446706051,73.91348446706051,73.91348446706051,63.65317059247158,73.91348446706051
topology_dysplasia_14_clean.csv,24.881685649846986,31.669558585620862,31.669558585620862,43.84318873338588,43.84318873338588,31.669558585620862,31.669558585620862,45.80973583458372,1.351620116997662e-308,41.02565401731725,26.378997497319745,30.799851435861058,36.651316360659905,40.38176373534205,31.669558585620862,31.669558585620862,31.54776015174977,43.84318873338589,43.65415411959808,31.66955858562086,42.636792781612215,43.84318873338588,34.872652863855976,40.17443718855398,43.84318873338589,56.1959366780712,31.669558585620862,43.84318873338588,35.72046400924181,45.20323880102804,31.669558585620862,31.669558585620862,31.669558585620862,41.23328455365437,34.75555074398901,31.669558585620862,31.048907977095823,31.66955858562086,31.669558585620862,31.669558585620862,43.84318873338589,43.84318873338589,30.639601456456177,41.51034777546788,31.66955858562086,43.84318873338588,40.288246727012975,31.669558585620862,40.877433219284455,31.66955858562086,43.84318873338588,43.84318873338588,43.84318873338589,43.56821797734345,33.94163430638778,43.84318873338589,31.669558585620862,43.84318873338588,40.20194886502872,34.046336211810306
topology_ad_carcinoma_1_clean.csv,31.12433703144852,16.97003404654535,18.70118694774383,13.425141871256315,13.551690104052751,20.958258151152677,14.89741049612499,73.91348446706051,41.02565401731725,1.1460020178750254e-308,35.5459780156932,13.015695420790422,62.760461912404686,51.59055011675512,25.825309720475275,19.175385133641868,25.22432468572391,56.9135475182255,17.056686733724362,40.92560494333103,11.729038637401741,12.851772828682826,11.128369803369836,15.048866375507657,13.4822568726835,81.48609908711252,66.72508846756872,12.799149498877313,15.610338542014304,72.5639685996675,16.787020895137715,15.819992052651315,21.349453725224308,13.29265843195553,13.252210382271727,16.357630896050424,40.11432840686623,45.00856826585614,56.633768163613226,16.28709098529248,26.73781433520447,15.526346493007651,12.395786719927072,13.564315539580747,15.999492333197352,23.020579720195812,17.00100773073843,28.219610637304754,12.996358062946065,15.969015091875356,11.82668281499744,20.331844150877515,12.034212924882766,10.151270369821495,32.385070650095265,19.917784765971064,14.540106060726274,17.056686733724362,16.942047714520314,11.613194281749413
