,carcinoma_FA_HN11A_3_total.csv,stroma_ad_dysplasia_FA_HN11A_2_total.csv,stroma_ad_dysplasia_FA_HN15_5_total.csv,stroma_ad_carcinoma_FA_HN11A_1_total.csv,stroma_ad_dysplasia_FA_HN15_2_total.csv,stroma_ad_carcinoma_FA_HN11A_2_total.csv,dysplasia_FA_HN15_2_total.csv,stroma_ad_dysplasia_FA_HN15_4_total.csv,carcinoma_FA_HN14_4_total.csv,stroma_ad_carcinoma_FA_HN14_5_total.csv,carcinoma_FA_HN11A_1_total.csv,dysplasia_FA_HN15_3_total.csv,stroma_ad_dysplasia_FA_HN14_2_total.csv,carcinoma_FA_HN11A_4_total.csv,carcinoma_FA_HN15_1_total.csv,carcinoma_FA_HN14_2_total.csv,dysplasia_FA_HN11A_3_total.csv,carcinoma_FA_HN11A_5_total.csv,stroma_ad_carcinoma_FA_HN15_4_total.csv,stroma_ad_dysplasia_FA_HN14_4_total.csv,dysplasia_FA_HN11A_2_total.csv,stroma_ad_dysplasia_FA_HN15_1_total.csv,dysplasia_FA_HN11A_5_total.csv,dysplasia_FA_HN14_2_total.csv,dysplasia_FA_HN15_5_total.csv,stroma_ad_dysplasia_FA_HN11A_3_total.csv,carcinoma_FA_HN11A_2_total.csv,carcinoma_FA_HN14_3_total.csv,stroma_ad_dysplasia_FA_HN11A_5_total.csv,stroma_ad_carcinoma_FA_HN14_3_total.csv,stroma_ad_carcinoma_FA_HN15_3_total.csv,stroma_ad_dysplasia_FA_HN11A_4_total.csv,stroma_ad_dysplasia_FA_HN14_1_total.csv,stroma_ad_carcinoma_FA_HN14_2_total.csv,dysplasia_FA_HN11A_4_total.csv,stroma_ad_dysplasia_FA_HN15_3_total.csv,dysplasia_FA_HN11A_1_total.csv,stroma_ad_dysplasia_FA_HN11A_1_total.csv,carcinoma_FA_HN14_1_total.csv,stroma_ad_carcinoma_FA_HN14_1_total.csv,dysplasia_FA_HN14_1_total.csv,dysplasia_FA_HN15_1_total.csv,stroma_ad_carcinoma_FA_HN14_4_total.csv,stroma_ad_carcinoma_FA_HN15_1_total.csv,stroma_ad_carcinoma_FA_HN15_2_total.csv,stroma_ad_dysplasia_FA_HN14_3_total.csv,carcinoma_FA_HN15_2_total.csv
carcinoma_FA_HN11A_3_total.csv,0.0,inf,inf,5579.943524048929,8521.913110178231,5187.663349046034,4070.0623864949225,inf,2391.771128038989,7340.656456947201,1961.2399397180493,9896.516781344406,7237.681779751853,2159.9980819987336,5792.057490841747,3469.741940130207,6084.5422609571115,2275.8891493281585,4061.539273537428,9212.083327911023,4816.032396208306,inf,4466.5046228803185,5327.225530140634,2934.5189178831947,inf,2653.511003429655,4842.586785289866,inf,5121.224191230357,10860.529626009658,inf,5425.043291190813,5132.979722674147,3187.527725636335,11785.834412754171,3330.6453604723365,inf,2117.784189001503,3928.2742256210486,5371.497165321044,3646.462108439854,8607.327227276433,6174.811969162627,10626.551607315785,12681.484705159719,5802.556910271512
stroma_ad_dysplasia_FA_HN11A_2_total.csv,inf,0.0,3232.3605408063668,inf,inf,inf,inf,4128.847017359563,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1103.399245993275,inf,inf,inf,1727.7211872770974,inf,inf,2569.9593704106946,inf,inf,2160.3054715323547,inf,inf,inf,inf,inf,1575.2461670226385,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN15_5_total.csv,inf,3232.3605408063668,0.0,inf,inf,inf,inf,1665.9572832600186,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3271.915635856021,inf,inf,inf,3281.2581292485893,inf,inf,2001.2428058959317,inf,inf,3067.7675182196713,inf,inf,inf,inf,inf,4409.22992136653,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN11A_1_total.csv,5579.943524048929,inf,inf,0.0,7513.9200325690545,4199.008698969947,8670.515001282229,inf,4237.772331544142,5553.5265178429245,4120.897967124927,13793.565407375656,4536.0841379108515,4475.993335695158,8839.906056815673,8073.029654923689,9094.921007570096,5610.435762618333,5027.406223702002,5677.535787810291,3756.354979842597,inf,6790.139132319497,5760.796723580891,6817.647784895416,inf,5799.866778042281,3399.4467760036932,inf,4312.796743835623,9706.903277271545,inf,5241.607500479979,2731.0417072059554,6379.260317610955,10323.71789485121,2435.092374301122,inf,4537.329219931359,2363.2082207687995,8111.79730349283,8375.823456672795,6126.097677021338,7632.293867445933,10170.665939452669,10915.562286093853,8699.165592307965
stroma_ad_dysplasia_FA_HN15_2_total.csv,8521.913110178231,inf,inf,7513.9200325690545,0.0,4046.0021736626304,9244.019200485322,inf,7739.74529934595,2660.4538850188646,8102.219577181793,9507.99699580683,3684.5668922931955,8833.076543000961,6946.155017824469,7569.323155404718,6528.188274331138,6720.753210923667,5106.566622052416,3916.1730338172915,4700.051039936519,inf,5126.1471737675765,4823.063046010785,7343.638407580521,inf,6786.813506142204,8861.255616064407,inf,4214.897413596658,2582.5359775847114,inf,4053.6157641141726,5577.956126894978,6570.528909044073,3449.050653218334,7494.439275882661,inf,7100.7465429426275,7490.154853515072,6689.668627434794,8576.643148889036,2901.677072896591,4002.7237184648084,3072.848607634898,4309.902662440495,6717.4092834206285
stroma_ad_carcinoma_FA_HN11A_2_total.csv,5187.663349046034,inf,inf,4199.008698969947,4046.0021736626304,0.0,6933.3951348946175,inf,4365.160898429168,3955.9322216345386,4703.501732539287,10116.773474038104,3372.2983507214194,5302.661053206865,5624.722492839287,5380.846121432627,5737.5087906073195,3596.3677054302716,1960.7112044839484,4248.797099132023,1650.726711102135,inf,3468.8698832689465,2713.188426391484,4888.774289911718,inf,4078.4663317356,5663.869570493259,inf,1457.3469248949848,6447.049503113445,inf,2525.4040722947348,2532.828022420444,4161.613002308263,7206.5986127022425,3610.586064932854,inf,3824.907661221456,4056.317690872354,5270.559074050265,6259.630430256146,4096.308606096468,3712.641102882982,6453.76425513707,8015.278301999618,5378.93761105924
dysplasia_FA_HN15_2_total.csv,4070.0623864949225,inf,inf,8670.515001282229,9244.019200485322,6933.3951348946175,0.0,inf,5024.727102250249,8330.678067709894,5231.231222642905,6193.642565269931,8964.986276988926,5415.6917282206705,3489.861325718038,2943.772406054575,4120.913822859671,4276.393575738896,5378.050065214829,10823.655282068421,6711.160526639003,inf,4790.835781440299,5592.274545064177,3018.417801533295,inf,4181.891101252593,8028.059646954462,inf,6370.997732736186,10825.374777876039,inf,6119.216309951009,7306.3530996899835,3692.959564689452,11721.288987333406,6658.676096784936,inf,4917.800597616141,6867.1481975390125,3481.121419566188,1928.6064130423365,9746.453799547442,5789.867246379551,10270.260916550907,12712.140099942597,3600.9200694470283
stroma_ad_dysplasia_FA_HN15_4_total.csv,inf,4128.847017359563,1665.9572832600186,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4145.716663241451,inf,inf,inf,3880.413337480554,inf,inf,2261.460357177681,inf,inf,3725.4364951385364,inf,inf,inf,inf,inf,5383.804002106695,inf,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN14_4_total.csv,2391.771128038989,inf,inf,4237.772331544142,7739.74529934595,4365.160898429168,5024.727102250249,inf,0.0,6397.795015862504,1147.7098986316523,10542.766943780325,5985.009409469029,1541.9214278020472,6208.107356812267,4472.380987759478,6751.0295222351215,2811.5110615543726,3769.6248170455656,7810.060724123161,3381.4921605505933,inf,4656.2046953095605,4617.838524707893,3355.7809194361425,inf,2787.894826119516,3326.5684353906727,inf,4590.249589369862,10089.137110747955,inf,4515.839485758725,4172.138339553595,3401.494427452718,10710.313160927504,2018.5184296705843,inf,1085.0074243991978,2650.9313985157087,5735.977676374191,4538.274442366145,7401.2320338133795,5870.895002032519,10279.904922026839,11588.428714865984,5735.856366281614
stroma_ad_carcinoma_FA_HN14_5_total.csv,7340.656456947201,inf,inf,5553.5265178429245,2660.4538850188646,3955.9322216345386,8330.678067709894,inf,6397.795015862504,0.0,6729.678323439338,11604.320285548736,1715.2336995977055,7432.678325924216,6827.814156895572,7842.5200789303535,8192.54720525551,6205.320021716332,5109.595866093327,3559.166130549225,4069.892395403121,inf,6227.40678721505,5426.16801178148,6839.714033083552,inf,6404.567709405352,7755.502011184899,inf,3613.168307661576,4320.617736304681,inf,3443.8134571566957,3917.383656614715,6216.949186530713,4986.370622945126,5922.144204408248,inf,5992.275662721933,5779.32247548634,7473.914004923822,8038.7191353524995,1688.0405172219344,5288.768529611623,5188.770491028444,5618.009005905956,6999.830024620443
