,topology_dysplasia_11_clean_otras.csv,topology_carcinoma_14_clean_otras.csv,topology_ad_dysplasia_1_clean_otras.csv,topology_carcinoma_18_clean_otras.csv,topology_dysplasia_5_clean_otras.csv,topology_ad_dysplasia_6_clean_otras.csv,topology_dysplasia_6_clean_otras.csv,topology_carcinoma_17_clean_otras.csv,topology_dysplasia_10_clean_otras.csv,topology_ad_dysplasia_3_clean_otras.csv,topology_ad_carcinoma_9_clean_otras.csv,topology_carcinoma_11_clean_otras.csv,topology_ad_carcinoma_1_clean_otras.csv,topology_dysplasia_3_clean_otras.csv,topology_dysplasia_7_clean_otras.csv,topology_carcinoma_6_clean_otras.csv,topology_carcinoma_10_clean_otras.csv,topology_ad_carcinoma_15_clean_otras.csv,topology_dysplasia_2_clean_otras.csv,topology_dysplasia_17_clean_otras.csv,topology_dysplasia_1_clean_otras.csv,topology_carcinoma_9_clean_otras.csv,topology_ad_carcinoma_4_clean_otras.csv,topology_carcinoma_7_clean_otras.csv,topology_carcinoma_8_clean_otras.csv,topology_ad_dysplasia_8_clean_otras.csv,topology_carcinoma_13_clean_otras.csv,topology_ad_carcinoma_3_clean_otras.csv,topology_ad_dysplasia_4_clean_otras.csv,topology_ad_carcinoma_8_clean_otras.csv,topology_dysplasia_12_clean_otras.csv,topology_carcinoma_12_clean_otras.csv,topology_ad_dysplasia_5_clean_otras.csv,topology_ad_carcinoma_2_clean_otras.csv,topology_carcinoma_16_clean_otras.csv,topology_ad_dysplasia_9_clean_otras.csv,topology_dysplasia_9_clean_otras.csv,topology_ad_carcinoma_5_clean_otras.csv,topology_carcinoma_1_clean_otras.csv,topology_dysplasia_8_clean_otras.csv,topology_ad_dysplasia_2_clean_otras.csv,topology_ad_carcinoma_12_clean_otras.csv,topology_carcinoma_3_clean_otras.csv,topology_ad_carcinoma_11_clean_otras.csv,topology_carcinoma_20_clean_otras.csv,topology_dysplasia_16_clean_otras.csv,topology_dysplasia_13_clean_otras.csv,topology_ad_carcinoma_13_clean_otras.csv,topology_ad_carcinoma_7_clean_otras.csv,topology_dysplasia_15_clean_otras.csv,topology_carcinoma_19_clean_otras.csv,topology_dysplasia_19_clean_otras.csv,topology_dysplasia_18_clean_otras.csv,topology_carcinoma_15_clean_otras.csv,topology_carcinoma_5_clean_otras.csv,topology_ad_carcinoma_6_clean_otras.csv,topology_ad_dysplasia_7_clean_otras.csv,topology_ad_carcinoma_14_clean_otras.csv,topology_dysplasia_4_clean_otras.csv,topology_ad_dysplasia_10_clean_otras.csv,topology_dysplasia_14_clean_otras.csv,topology_carcinoma_2_clean_otras.csv,topology_carcinoma_4_clean_otras.csv,topology_ad_carcinoma_10_clean_otras.csv
topology_dysplasia_11_clean_otras.csv,0.0,900.9627385833876,653.309014207179,966.2996139683456,2185.1201305012487,732.3885132783553,721.394405029999,841.0967021835334,1243.6909452793202,762.6990997938788,911.9238091810348,1144.4161309848955,723.9233299120449,866.7271240689839,953.7173356544105,inf,1138.2266642072352,868.7610758271412,1209.7490022386771,676.3688093846299,1333.8567201292285,1098.4119141662438,977.9926738651931,1102.6164091755652,1048.024181579016,818.153366031711,inf,777.9350935102589,904.119633168286,906.4346923908456,1395.2838906695845,969.9923399144471,1480.1285405864026,790.9324834415725,841.0967021835334,865.8935295601588,1901.6075430528617,1776.0387865975897,1422.9081803789302,2062.9183994031423,721.9142512310788,825.4237055087166,907.7592365458547,749.8621604967778,840.7956892654162,767.1467398458847,1470.0211427008376,812.671854563974,771.5588907413193,1228.3619651859808,1305.01055607997,957.1696195775354,957.9137063045258,1132.833599006603,inf,826.9006266317813,1355.9295577821201,913.4049997122335,858.4172027283171,817.9002066416626,1281.196854428114,1197.1593400810282,inf,1146.6986341574645
topology_carcinoma_14_clean_otras.csv,900.9627385833876,0.0,557.4396863916287,360.86935673668063,2079.0524315620232,305.04328795127685,822.7557980888329,235.66644495186878,1085.7583794225668,385.88389608602336,380.28359302676404,460.00852436460667,389.1502807576253,277.8947894267045,411.5963696690039,inf,493.47802369528324,236.21837789534783,678.3286057229575,414.4379472488349,551.3442497972356,271.0230291262221,419.37958304776316,348.09666972268826,320.54172979184966,301.497674056974,inf,674.9486662083879,393.00948912726165,917.6802469327731,1183.463804285894,303.34870929981366,942.8498315815749,375.23165482338965,235.66644495186878,367.43599373626705,1873.083393494799,1391.5204073319646,699.977619967984,1819.3865668199246,308.12788825909263,458.48761042374656,363.79268184952195,319.75545500708984,234.73660877679004,449.2777090806129,1032.0392025550063,554.4734610129549,512.8950107757,999.264878892106,697.773647666826,271.0497272178488,172.78518817251697,385.8604075397499,inf,318.0107805836523,1244.2590754090875,486.61954054245393,373.5641135082444,383.0291499836007,1004.5113208258855,429.1824596369463,inf,1084.7360765932513
topology_ad_dysplasia_1_clean_otras.csv,653.309014207179,557.4396863916287,0.0,652.0096507696651,2247.3513755937065,490.22178135135033,711.0271313115225,526.8067389848534,1076.7690843620867,525.1412773920113,538.9502749225821,844.8358558225646,512.0641368705847,562.7372084767262,800.5106601480946,inf,823.936701008555,561.6565675978316,890.3100572181679,383.0035847196258,977.5437574373742,743.4777045385586,695.7633728988214,669.1629477820686,728.2841089744416,561.7050937135789,inf,694.6973034199923,688.0011183784235,829.9377337146752,1264.4440540524906,652.62967462901,1254.866282931759,528.0486433167664,526.8067389848534,667.9722683415114,1768.2098049703272,1659.125642235853,1114.9800356790956,2031.5157802659273,414.87850398434335,680.8218614165542,605.4566535999282,483.1701424033457,529.3822232505233,648.7576117897062,1318.3709227749312,708.6824582730703,668.6581753644249,1161.7581376720734,994.6080374789041,662.3868361540192,630.2337690064418,755.9372763851927,inf,565.858051909419,1275.395509749061,760.5848665429538,585.7174063341101,498.5884817985248,1241.3834137253943,813.1351487342577,inf,1164.914424529793
topology_carcinoma_18_clean_otras.csv,966.2996139683456,360.86935673668063,652.0096507696651,0.0,2078.2904721798127,329.47332257480434,911.1208790527389,125.20291178481187,1194.181119011142,356.0000107993964,430.9629482536111,381.86556462139936,406.80187011540306,153.94593610346783,556.6268654581493,inf,370.5462378547526,294.06999279908774,833.6136172578886,487.81486068253724,534.5625368508049,409.9768253663775,350.3635309866881,359.6747352200304,356.11571361177494,206.7104400177586,inf,771.4931902808739,334.7676712781236,1027.125376450067,1274.090698441894,173.87836859594648,853.2624557317179,427.59319895944276,125.20291178481187,288.30476255334173,2061.932801944747,1347.686692109664,706.2258255505407,1859.3847746155352,344.5197915396236,389.72061124892514,324.9666516367092,260.98629250741254,127.77839605048202,436.2795273655259,1169.886384386114,519.3304458507716,458.29665354901243,987.7639893928747,476.06726787150325,276.8414016867531,216.38027613377537,394.05328675155226,inf,254.9721979221823,1326.64591630992,413.7329612700517,501.91698897275535,588.4423352561516,952.3313992976387,481.84014802744395,inf,1126.4513332134609
topology_dysplasia_5_clean_otras.csv,2185.1201305012487,2079.0524315620232,2247.3513755937065,2078.2904721798127,0.0,1937.2227335774905,1922.2118985169398,1953.087560395,1875.4056107346285,1914.051203749215,2012.097106057703,2275.431329751496,1943.780941190747,1978.451554418428,1968.2399270873402,inf,2250.2175224187013,2049.0099835591586,2244.888934389263,2064.198012895834,2453.318430913642,2255.6944073754257,1842.734875523416,2263.7327738514027,2215.5996349335683,1878.6295625714006,inf,1872.0868687160098,1765.5425229133693,1836.6870314941266,1557.2033075965105,2066.1208347333154,1521.360480284206,1964.3513138752432,1953.087560395,1822.509652699689,1893.862831709868,1491.5953824672986,2575.640259046669,1023.2168631285821,2010.3495560538463,1723.1833649588161,2138.443338009637,1936.6771584741996,1950.5273748565864,1742.361848634209,1419.0149030083608,1685.1969685555634,1708.6489017524761,1371.1110178517006,2403.6703703950257,2071.2742091266923,2064.756702157266,2269.208972845899,inf,1897.9630730356312,1952.9445806997908,1701.1965181582432,1875.3835293768566,2150.6960448622817,1275.805941195983,2375.4131300788667,inf,1380.547274416445
topology_ad_dysplasia_6_clean_otras.csv,732.3885132783553,305.04328795127685,490.22178135135033,329.47332257480434,1937.2227335774905,0.0,684.1955539674295,204.27041078999247,1047.9289966999156,264.70085530889554,395.8426352942241,522.8953631547371,302.7371450763776,237.02645069497038,509.5885027713336,inf,501.4003728136941,278.4524214772827,733.9412284832196,361.4306453695958,708.5262670861467,472.5821937011579,379.76745931927337,465.7427134855983,425.0312597776981,249.15027211053,inf,561.9280935151434,346.5247650470674,852.1660264607489,1117.7223148815374,325.57769782034626,891.9981899966374,334.72729390239834,204.27041078999247,308.0226825161729,1889.790412990337,1318.7926326375614,801.7674815327598,1697.3850995206692,222.43120442146574,343.4391085587674,339.5196284009716,245.5215408181932,206.8458950556626,374.92589599325726,1075.5831098849235,422.16075953521056,382.1712299319068,903.7427028572431,670.7660541157951,357.7770669619989,316.67409734157144,519.6441485993653,inf,270.38202882728706,1108.4025980638448,405.3576720660546,386.8298385915392,450.600598119716,930.083336764087,610.9198610233473,inf,913.6683635009572
topology_dysplasia_6_clean_otras.csv,721.394405029999,822.7557980888329,711.0271313115225,911.1208790527389,1922.2118985169398,684.1955539674295,0.0,785.9179672679269,991.1693156638685,659.9494516538957,784.2295998549267,1067.640088819767,680.1151956162615,812.0451961621666,809.1148913330908,inf,1083.0479292916286,789.403316618999,1055.3238830150704,598.4391230081922,1234.336879444388,1016.5667731818065,854.058372404866,980.863990328717,980.2450896007722,737.3107049725136,inf,653.3050559158205,764.1446769256429,797.8425405258877,1125.9095497529265,904.8954004262001,1284.0606998357464,701.0753743643274,785.9179672679269,748.4025116533174,1728.7475832349942,1555.267187934545,1366.2133744325633,1739.743226530772,659.0661764699977,682.1274995891628,884.6927330714834,723.1604783299827,785.7894091058361,647.670887027422,1233.4818215819855,626.8302496193452,663.274513571984,1067.1031321648522,1246.992057832059,906.5382267457871,884.5821943277334,1054.2019482613387,inf,742.1518373622539,1122.2431142180596,735.7887481182953,725.0607261191805,746.9015422225397,965.6399808875728,1119.1601109954518,inf,874.5606954039744
topology_carcinoma_17_clean_otras.csv,841.0967021835334,235.66644495186878,526.8067389848534,125.20291178481187,1953.087560395,204.27041078999247,785.9179672679269,0.0,1137.1217582418642,230.79709901458452,305.7600364687993,350.1607642604123,281.5989583305912,42.228344474835765,499.34475238436005,inf,297.1299620237017,197.4600303312326,745.0141662859079,362.61194889772537,510.30024245421515,322.1152184091455,225.16061920187624,322.2293438330979,302.52839307454843,81.50752823294671,inf,646.2902784960619,209.56475949331173,908.2259943578522,1169.9617837897786,131.3370809525103,728.0595439469059,330.9344813014067,0.0,163.10185076852983,1949.7013400536882,1222.483780324852,639.1012689794088,1734.1818628307233,219.3168797548117,264.5176994641132,231.44066047356648,135.78338072260067,2.5754842656701413,311.07661558071413,1073.1972411006388,394.1275340659597,333.0937417642006,862.5610776080626,467.80129849405057,171.8250135178916,116.8170041209923,320.0035949834181,inf,129.7692861373704,1201.443004525108,288.5300494852399,376.7140771879435,469.60284819829303,827.1284875128267,435.15004027997895,inf,1001.2484214286493
topology_dysplasia_10_clean_otras.csv,1243.6909452793202,1085.7583794225668,1076.7690843620867,1194.181119011142,1875.4056107346285,1047.9289966999156,991.1693156638685,1137.1217582418642,0.0,1033.940036100619,985.3361388204985,1305.1748895465412,1066.3517103670604,1165.278641830623,960.1885500314256,inf,1356.8094246285884,1091.2376171774279,1049.3435181750183,1007.123336189286,1316.8792272178916,1256.9764188743661,1021.7075301067948,1114.590054526389,1229.6403406440445,1085.5429838774976,inf,906.3148568125628,1026.4133312769573,916.8583677018432,1103.679197331153,1187.5442689979834,1185.671423691295,956.3088810653738,1137.1217582418642,1012.067953828195,1423.479733831699,1382.338332816363,1550.969787181974,1619.1552788664508,1027.3244025150698,977.834977572475,1225.4029888710138,1087.431310186252,1136.4414042214728,974.3741242539547,1138.4416786070465,1008.78233614996,968.740965688698,1027.2240761569929,1490.3654037301196,1111.827782738364,1189.8291248050373,1261.1750920976465,inf,1067.8814707064441,1053.367431375173,982.2870723197038,934.9128120063023,1012.4488543302984,1114.156350888728,1321.2513240177866,inf,958.902464432897
topology_ad_dysplasia_3_clean_otras.csv,762.6990997938788,385.88389608602336,525.1412773920113,356.0000107993964,1914.051203749215,264.70085530889554,659.9494516538957,230.79709901458452,1033.940036100619,0.0,397.2851525472219,538.4185765821588,355.81302606311937,265.9174070177095,523.1037712062734,inf,527.9270610382864,283.0794543736533,723.9025416929609,352.5369622354226,734.5952889208587,484.5053111619005,328.63431502705413,539.3730855434641,471.59536651142577,253.6240803942481,inf,612.4456140089048,286.0465591122359,814.5922052999532,1078.667272409882,353.3643984475467,797.0986406697297,351.000905509171,230.79709901458452,277.8127598746124,1808.8251106487808,1213.5074726236112,825.9255334364046,1663.6959395243837,301.50055796017676,289.0265430202356,374.5030905253151,276.2844137882589,233.36268924719957,289.7131413036224,984.5198608121457,447.6223718455113,335.09918498462815,817.5238371501309,694.364251337447,382.51264633021,347.61410313557684,547.4617610141509,inf,255.86427676754676,1050.361454344205,318.6510077809942,383.33077552749165,505.73394487337777,848.86536857626,618.6847744394097,inf,892.054617597385
