,stroma_ad_dysplasia_FA_HN11A_3_t.csv,dysplasia_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN14_3_t.csv,stroma_ad_carcinoma_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN14_1_t.csv,stroma_ad_dysplasia_FA_HN15_2_t.csv,dysplasia_FA_HN15_2_t.csv,stroma_ad_dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN11A_5_t.csv,stroma_ad_dysplasia_FA_HN15_3_t.csv,stroma_ad_dysplasia_FA_HN11A_5_t.csv,dysplasia_FA_HN15_5_t.csv,dysplasia_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN15_5_t.csv,carcinoma_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN11A_1_t.csv,stroma_ad_carcinoma_FA_HN14_5_t.csv,dysplasia_FA_HN11A_4_t.csv,carcinoma_FA_HN11A_1_t.csv,dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN15_2_t.csv,carcinoma_FA_HN14_2_t.csv,dysplasia_FA_HN15_1_t.csv,carcinoma_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN14_2_t.csv,carcinoma_FA_HN11A_4_t.csv,stroma_ad_dysplasia_FA_HN11A_4_t.csv,dysplasia_FA_HN15_3_t.csv,carcinoma_FA_HN14_4_t.csv,stroma_ad_carcinoma_FA_HN14_3_t.csv,carcinoma_FA_HN11A_3_t.csv,stroma_ad_dysplasia_FA_HN11A_2_t.csv,carcinoma_FA_HN15_1_t.csv,dysplasia_FA_HN11A_5_t.csv,stroma_ad_carcinoma_FA_HN15_4_t.csv,carcinoma_FA_HN14_3_t.csv,dysplasia_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN15_3_t.csv,stroma_ad_carcinoma_FA_HN15_2_t.csv,stroma_ad_carcinoma_FA_HN14_4_t.csv,stroma_ad_dysplasia_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN14_4_t.csv,stroma_ad_dysplasia_FA_HN15_4_t.csv,dysplasia_FA_HN11A_3_t.csv
stroma_ad_dysplasia_FA_HN15_5_t.csv,inf,inf,inf,inf,inf,inf,64.23165664223393,inf,inf,inf,inf,inf,inf,1.3930287679329363e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,64.23165664223393,inf,inf,inf,34.00845397159908,inf,inf,inf,inf,38.31093172397729,28.49480690278058,40.00042875687487,59.66516272377059
carcinoma_FA_HN11A_2_t.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.84481384985266e-308,inf,inf,inf,inf,inf,inf,inf,63.33013906111874,inf,inf,59.66250829029529,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.69098359979304,inf,inf,inf,86.47758329267344,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN14_2_t.csv,inf,37.5929487661421,inf,inf,inf,inf,inf,inf,61.0189827257191,74.37238828854277,inf,inf,inf,inf,inf,1.278830474535685e-308,inf,56.390666904275804,inf,inf,49.15922238109815,inf,inf,inf,inf,inf,inf,50.21863085930728,inf,inf,inf,inf,60.83405995234975,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN15_1_t.csv,50.10062077218534,inf,inf,inf,15.848210393607502,52.29103969206031,inf,27.775584689814593,inf,inf,47.51686215368562,inf,64.41436473859935,inf,inf,inf,1.6086886045487513e-308,inf,15.16647433047072,inf,inf,48.07373829641037,inf,inf,60.8884600930017,inf,31.922381779782796,inf,60.8884600930017,inf,inf,58.06460351173891,inf,31.95552320137928,inf,inf,52.55168262103754,inf,inf,inf,inf,22.012835803518968,13.233369535382874,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN11A_1_t.csv,inf,43.69693988589978,inf,inf,inf,inf,inf,inf,33.829184359403584,41.60711515699981,inf,inf,inf,inf,inf,56.390666904275804,inf,2.0851575793737154e-308,inf,inf,78.41396431144517,inf,inf,inf,inf,inf,inf,84.56079700487746,inf,inf,inf,inf,86.72794112212773,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_5_t.csv,50.84579519454532,inf,inf,inf,19.998594295781857,58.404584291498395,inf,42.94205902028531,inf,inf,32.3503878232149,inf,62.069959909024604,inf,inf,inf,15.16647433047072,inf,7.62975955610841e-309,inf,inf,42.240602237261456,inf,inf,68.47169725823704,inf,47.088856110253516,inf,68.47169725823704,inf,inf,42.89812918126819,inf,32.70069762373926,inf,inf,56.63843166924086,inf,inf,inf,inf,25.205669733006545,27.524225600170254,inf,inf,inf,inf
dysplasia_FA_HN11A_4_t.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.7196232073511253e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN11A_1_t.csv,inf,68.53366609462279,inf,inf,inf,inf,inf,inf,80.72812222216683,87.40482500357865,inf,inf,inf,inf,inf,49.15922238109815,inf,78.41396431144517,inf,inf,1.7460174902685317e-308,inf,inf,inf,inf,inf,inf,54.74724688915697,inf,inf,inf,inf,66.27303483466261,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
dysplasia_FA_HN11A_1_t.csv,50.16002141702326,inf,inf,inf,46.722276430021864,77.05721676320795,inf,58.22337231038085,inf,inf,41.090242764842515,inf,86.71617963684503,inf,inf,inf,48.07373829641037,inf,42.240602237261456,inf,inf,1.4133214210487465e-308,inf,inf,76.11235390328483,inf,62.370169400349056,inf,76.11235390328481,inf,inf,63.18963300812777,inf,43.20148445069973,inf,inf,76.10823730755112,inf,inf,inf,inf,53.5363114417561,44.36294534533043,inf,inf,inf,inf
carcinoma_FA_HN15_2_t.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,63.33013906111874,inf,inf,inf,inf,inf,inf,inf,1.590139363410012e-308,inf,inf,12.00057653072831,inf,inf,inf,inf,inf,inf,inf,inf,inf,77.36786789601024,inf,inf,inf,75.88278645047848,inf,inf,inf,inf,inf,inf,inf
