Comparación,Pearson,Spearman,Frobenius
distancias_bottleneck_dim0 vs distancias_wasserstein_dim1,0.17219227001493512,0.32494922894987227,185766.19139166127
distancias_bottleneck_dim0 vs distancias_wasserstein_dim0,0.17201328592669457,0.3679442020317523,999398.5713772163
distancias_bottleneck_dim0 vs distancias_bottleneck_dim1,0.1376641531676737,0.18946051742897327,1515.702229010234
distancias_wasserstein_dim1 vs distancias_wasserstein_dim0,0.9155906602875875,0.9076224943240324,818754.0167033639
distancias_wasserstein_dim1 vs distancias_bottleneck_dim1,0.0872824906662952,0.0951614910360914,184861.24325774208
distancias_wasserstein_dim0 vs distancias_bottleneck_dim1,0.014581227409764077,0.016010298401925555,998575.3723443572
