,filtrado_filtrado_stroma_ad_carcinoma_FA_HN15_4_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN14_1_t.csv,filtrado_filtrado_dysplasia_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN11A_3_t.csv,filtrado_stroma_ad_dysplasia_FA_HN11A_4_t.csv,filtrado_dysplasia_FA_HN11A_1_t.csv,dysplasia_FA_HN14_2_t.csv,filtrado_stroma_ad_carcinoma_FA_HN14_3_t.csv,filtrado_filtrado_carcinoma_FA_HN15_2_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN14_4_t.csv,stroma_ad_dysplasia_FA_HN14_3_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN14_1_t.csv,filtrado_carcinoma_FA_HN11A_1_t.csv,stroma_ad_dysplasia_FA_HN15_2_t.csv,dysplasia_FA_HN15_2_t.csv,stroma_ad_dysplasia_FA_HN11A_1_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN14_3_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN11A_1_t.csv,carcinoma_FA_HN11A_5_t.csv,filtrado_filtrado_carcinoma_FA_HN14_4_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN14_4_t.csv,filtrado_stroma_ad_carcinoma_FA_HN11A_1_t.csv,filtrado_filtrado_dysplasia_FA_HN11A_3_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN15_2_t.csv,filtrado_carcinoma_FA_HN11A_5_t.csv,stroma_ad_dysplasia_FA_HN15_3_t.csv,stroma_ad_dysplasia_FA_HN11A_5_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN15_3_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN11A_4_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN15_1_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN11A_5_t.csv,filtrado_filtrado_carcinoma_FA_HN11A_4_t.csv,filtrado_dysplasia_FA_HN15_3_t.csv,filtrado_filtrado_dysplasia_FA_HN15_5_t.csv,filtrado_stroma_ad_dysplasia_FA_HN15_5_t.csv,dysplasia_FA_HN15_5_t.csv,filtrado_dysplasia_FA_HN15_1_t.csv,filtrado_stroma_ad_carcinoma_FA_HN15_3_t.csv,filtrado_dysplasia_FA_HN11A_2_t.csv,dysplasia_FA_HN11A_2_t.csv,filtrado_carcinoma_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN15_5_t.csv,filtrado_stroma_ad_dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN11A_1_t.csv,filtrado_stroma_ad_dysplasia_FA_HN15_4_t.csv,filtrado_dysplasia_FA_HN11A_5_t.csv,stroma_ad_carcinoma_FA_HN14_5_t.csv,filtrado_filtrado_dysplasia_FA_HN11A_5_t.csv,dysplasia_FA_HN11A_4_t.csv,filtrado_filtrado_dysplasia_FA_HN15_3_t.csv,filtrado_stroma_ad_carcinoma_FA_HN14_2_t.csv,filtrado_dysplasia_FA_HN15_2_t.csv,carcinoma_FA_HN11A_1_t.csv,filtrado_stroma_ad_carcinoma_FA_HN15_2_t.csv,dysplasia_FA_HN11A_1_t.csv,filtrado_carcinoma_FA_HN11A_3_t.csv,filtrado_filtrado_carcinoma_FA_HN11A_5_t.csv,carcinoma_FA_HN15_2_t.csv,filtrado_dysplasia_FA_HN14_1_t.csv,filtrado_filtrado_dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN14_2_t.csv,dysplasia_FA_HN15_1_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN15_4_t.csv,carcinoma_FA_HN14_1_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN15_5_t.csv,filtrado_dysplasia_FA_HN11A_3_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN11A_3_t.csv,stroma_ad_carcinoma_FA_HN14_2_t.csv,carcinoma_FA_HN11A_4_t.csv,stroma_ad_dysplasia_FA_HN11A_4_t.csv,filtrado_dysplasia_FA_HN14_2_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN15_2_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN11A_2_t.csv,filtrado_stroma_ad_dysplasia_FA_HN11A_2_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN11A_1_t.csv,filtrado_stroma_ad_dysplasia_FA_HN15_2_t.csv,dysplasia_FA_HN15_3_t.csv,filtrado_filtrado_dysplasia_FA_HN15_2_t.csv,filtrado_stroma_ad_dysplasia_FA_HN15_1_t.csv,carcinoma_FA_HN14_4_t.csv,stroma_ad_carcinoma_FA_HN14_3_t.csv,carcinoma_FA_HN11A_3_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN11A_2_t.csv,carcinoma_FA_HN15_1_t.csv,dysplasia_FA_HN11A_5_t.csv,stroma_ad_carcinoma_FA_HN15_4_t.csv,carcinoma_FA_HN14_3_t.csv,filtrado_carcinoma_FA_HN14_3_t.csv,dysplasia_FA_HN14_1_t.csv,filtrado_stroma_ad_carcinoma_FA_HN14_4_t.csv,filtrado_filtrado_carcinoma_FA_HN11A_2_t.csv,filtrado_filtrado_carcinoma_FA_HN14_1_t.csv,filtrado_filtrado_carcinoma_FA_HN15_1_t.csv,filtrado_stroma_ad_dysplasia_FA_HN14_4_t.csv,filtrado_carcinoma_FA_HN15_2_t.csv,filtrado_stroma_ad_carcinoma_FA_HN15_4_t.csv,filtrado_carcinoma_FA_HN14_1_t.csv,filtrado_stroma_ad_dysplasia_FA_HN14_1_t.csv,filtrado_stroma_ad_carcinoma_FA_HN14_5_t.csv,filtrado_stroma_ad_carcinoma_FA_HN14_1_t.csv,filtrado_filtrado_filtrado_stroma_ad_dysplasia_FA_HN14_2_t.csv,stroma_ad_carcinoma_FA_HN15_3_t.csv,filtrado_filtrado_carcinoma_FA_HN14_2_t.csv,filtrado_stroma_ad_dysplasia_FA_HN11A_3_t.csv,stroma_ad_carcinoma_FA_HN15_2_t.csv,filtrado_carcinoma_FA_HN11A_2_t.csv,filtrado_filtrado_carcinoma_FA_HN11A_3_t.csv,filtrado_dysplasia_FA_HN15_5_t.csv,filtrado_stroma_ad_carcinoma_FA_HN11A_2_t.csv,filtrado_filtrado_dysplasia_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN14_4_t.csv,filtrado_dysplasia_FA_HN11A_4_t.csv,filtrado_stroma_ad_dysplasia_FA_HN11A_5_t.csv,stroma_ad_dysplasia_FA_HN14_1_t.csv,filtrado_filtrado_dysplasia_FA_HN14_2_t.csv,stroma_ad_carcinoma_FA_HN11A_2_t.csv,filtrado_stroma_ad_carcinoma_FA_HN15_1_t.csv,stroma_ad_dysplasia_FA_HN14_4_t.csv,filtrado_filtrado_carcinoma_FA_HN11A_1_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN15_3_t.csv,stroma_ad_dysplasia_FA_HN15_4_t.csv,filtrado_stroma_ad_dysplasia_FA_HN14_3_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN15_1_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN14_2_t.csv,filtrado_stroma_ad_dysplasia_FA_HN14_2_t.csv,filtrado_filtrado_carcinoma_FA_HN14_3_t.csv,filtrado_carcinoma_FA_HN14_4_t.csv,filtrado_carcinoma_FA_HN11A_4_t.csv,filtrado_filtrado_dysplasia_FA_HN15_1_t.csv,filtrado_filtrado_dysplasia_FA_HN11A_4_t.csv,filtrado_carcinoma_FA_HN15_1_t.csv,filtrado_stroma_ad_dysplasia_FA_HN15_3_t.csv,dysplasia_FA_HN11A_3_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN14_5_t.csv,filtrado_filtrado_stroma_ad_dysplasia_FA_HN11A_2_t.csv,filtrado_filtrado_stroma_ad_carcinoma_FA_HN14_3_t.csv
filtrado_filtrado_stroma_ad_carcinoma_FA_HN15_4_t.csv,0.0,1866.4983677038367,395.4367656043207,5481.969332125795,7111.50981051959,7445.630229148139,2047.0395794983176,735.7327280291097,2836.0977180128725,608.4865390658297,1815.3419496376976,757.3985387387747,844.1758424111018,757.3985387387747,2555.4539973996357,695.5775669648078,2688.1887247324375,2643.1747105698846,1815.3419496376976,742.6683700750635,3507.0297311440227,2670.2076021998755,1039.1709594668282,742.6683700750635,1150.7566689693383,695.5775669648078,3507.0297311440227,939.762532763458,1711.2199577992112,2076.042663663668,7111.50981051959,1021.9780237253271,1711.2199577992112,2793.837151110557,2831.3396993375964,2707.939407651501,1529.8102706398436,2707.939407651501,2492.3246021019204,2076.042663663668,395.4367656043207,395.4367656043207,2778.215722091884,1529.8102706398436,2643.1747105698846,2757.346646331524,884.8226962262761,1021.9780237253271,742.6683700750635,1892.767095796882,1804.030712093846,822.3313630187372,1804.030712093846,2401.3504090811484,2831.3396993375964,1898.6556092247424,2688.1887247324375,2555.4539973996357,1883.1226496472252,7445.630229148139,2604.8736158102733,3507.0297311440227,2836.0977180128725,1923.991957491416,7445.630229148139,2778.215722091884,2492.3246021019204,1892.767095796882,2672.607043380931,1529.8102706398436,1150.7566689693383,5481.969332125795,1898.6556092247424,2793.837151110557,7111.50981051959,2047.0395794983176,1883.1226496472252,1348.4037977832957,3786.1080803954774,2643.1747105698846,695.5775669648078,2831.3396993375964,2688.1887247324375,1021.9780237253271,2670.2076021998755,735.7327280291097,2604.8736158102733,1898.6556092247424,3786.1080803954774,2740.1129218801184,1804.030712093846,0.0,2776.483214183278,2776.483214183278,1923.991957491416,608.4865390658297,2757.346646331524,2672.607043380931,2740.1129218801184,1039.1709594668282,2836.0977180128725,0.0,2672.607043380931,1866.4983677038367,822.3313630187372,757.3985387387747,884.8226962262761,2076.042663663668,2778.215722091884,5481.969332125795,1883.1226496472252,2757.346646331524,2604.8736158102733,2707.939407651501,1348.4037977832957,1923.991957491416,608.4865390658297,2401.3504090811484,1711.2199577992112,1866.4983677038367,2047.0395794983176,1348.4037977832957,844.1758424111018,1039.1709594668282,2555.4539973996357,939.762532763458,1892.767095796882,1815.3419496376976,844.1758424111018,884.8226962262761,884.8226962262761,2776.483214183278,2670.2076021998755,2793.837151110557,2492.3246021019204,2401.3504090811484,2740.1129218801184,939.762532763458,1150.7566689693383,822.3313630187372,3786.1080803954774,735.7327280291097
filtrado_filtrado_stroma_ad_dysplasia_FA_HN14_1_t.csv,1866.4983677038367,0.0,1919.927329035488,4597.401598156249,6319.792973844303,6630.235200249101,3317.422220350277,1226.5295111798036,4128.8273734606655,1921.4562983572844,3592.4450425013197,1206.7586671629765,2607.1565137860293,1206.7586671629765,3567.973170720483,2421.7183901385147,3809.3754205149535,1249.33903547037,3592.4450425013197,2204.6280045196163,2737.50961471673,3716.957383963964,2691.8206333383982,2204.6280045196163,2975.490947672809,2421.7183901385147,2737.50961471673,2686.2895403108464,1199.0415652346198,3794.3828672907916,6319.792973844303,950.4711358628737,1199.0415652346198,3759.7064187982232,4352.934247208193,3946.6613260555837,3104.248775704154,3946.6613260555837,3454.2288164273837,3794.3828672907916,1919.927329035488,1919.927329035488,4082.3416831853538,3104.248775704154,1249.33903547037,4117.1617657642055,1970.3461072707958,950.4711358628737,2204.6280045196163,3418.8014516582734,3472.6258953674137,1132.9043749811342,3472.6258953674137,4014.2032535172316,4352.934247208193,714.5745767202112,3809.3754205149535,3567.973170720483,3714.2271092820906,6630.235200249101,3589.0112678528903,2737.50961471673,4128.8273734606655,3273.5289557352426,6630.235200249101,4082.3416831853538,3454.2288164273837,3418.8014516582734,4069.1795984474793,3104.248775704154,2975.490947672809,4597.401598156249,714.5745767202112,3759.7064187982232,6319.792973844303,3317.422220350277,3714.2271092820906,2881.8892662373705,2682.431657776797,1249.33903547037,2421.7183901385147,4352.934247208193,3809.3754205149535,950.4711358628737,3716.957383963964,1226.5295111798036,3589.0112678528903,714.5745767202112,2682.431657776797,3887.8984973788333,3472.6258953674137,1866.498367703836,4008.807880103007,4008.807880103007,3273.5289557352426,1921.4562983572844,4117.1617657642055,4069.1795984474793,3887.8984973788333,2691.8206333383982,4128.8273734606655,1866.498367703836,4069.1795984474793,0.0,1132.9043749811342,1206.7586671629765,1970.3461072707958,3794.3828672907916,4082.3416831853538,4597.401598156249,3714.2271092820906,4117.1617657642055,3589.0112678528903,3946.6613260555837,2881.8892662373705,3273.5289557352426,1921.4562983572844,4014.2032535172316,1199.0415652346198,0.0,3317.422220350277,2881.8892662373705,2607.1565137860293,2691.8206333383982,3567.973170720483,2686.2895403108464,3418.8014516582734,3592.4450425013197,2607.1565137860293,1970.3461072707958,1970.3461072707958,4008.807880103007,3716.957383963964,3759.7064187982232,3454.2288164273837,4014.2032535172316,3887.8984973788333,2686.2895403108464,2975.490947672809,1132.9043749811342,2682.431657776797,1226.5295111798036
filtrado_filtrado_dysplasia_FA_HN11A_2_t.csv,395.4367656043207,1919.927329035488,0.0,5644.977138724429,7280.917309193705,7625.288804941699,1962.0705411982335,787.1852817566262,2705.657513808604,858.7257972765974,1739.3731203591906,819.32745996555,768.2210379657058,819.32745996555,2483.4034379056384,647.813905320462,2555.7796131823425,2736.852674156434,1739.3731203591906,695.9631362893671,3610.3991995820793,2534.2718749805754,943.691105195086,695.9631362893671,1140.5058277825142,647.813905320462,3610.3991995820793,874.8945598258578,1873.9516585023885,1978.1929081320593,7280.917309193705,1091.1630384986543,1873.9516585023885,2718.6769738258004,2702.6664731333885,2566.5372475472896,1353.0994153226616,2566.5372475472896,2413.300565017623,1978.1929081320593,0.0,0.0,2652.6507897669176,1353.0994153226616,2736.852674156434,2630.9762327520143,880.588256821954,1091.1630384986543,695.9631362893671,1739.8445707165192,1698.0527104182497,904.760502297544,1698.0527104182497,2285.047995749116,2702.6664731333885,1999.5673537825387,2555.7796131823425,2483.4034379056384,1829.203818790204,7625.288804941699,2505.4967054154067,3610.3991995820793,2705.657513808604,1755.247676822186,7625.288804941699,2652.6507897669176,2413.300565017623,1739.8445707165192,2555.2292915934563,1353.0994153226616,1140.5058277825142,5644.977138724429,1999.5673537825387,2718.6769738258004,7280.917309193705,1962.0705411982335,1829.203818790204,1316.3623714638834,3955.3496395661296,2736.852674156434,647.813905320462,2702.6664731333885,2555.7796131823425,1091.1630384986543,2534.2718749805754,787.1852817566262,2505.4967054154067,1999.5673537825387,3955.3496395661296,2579.0067398826786,1698.0527104182497,395.4367656043207,2632.008364802971,2632.008364802971,1755.247676822186,858.7257972765974,2630.9762327520143,2555.2292915934563,2579.0067398826786,943.691105195086,2705.657513808604,395.4367656043207,2555.2292915934563,1919.927329035487,904.760502297544,819.32745996555,880.588256821954,1978.1929081320593,2652.6507897669176,5644.977138724429,1829.203818790204,2630.9762327520143,2505.4967054154067,2566.5372475472896,1316.3623714638834,1755.247676822186,858.7257972765974,2285.047995749116,1873.9516585023885,1919.927329035487,1962.0705411982335,1316.3623714638834,768.2210379657058,943.691105195086,2483.4034379056384,874.8945598258578,1739.8445707165192,1739.3731203591906,768.2210379657058,880.588256821954,880.588256821954,2632.008364802971,2534.2718749805754,2718.6769738258004,2413.300565017623,2285.047995749116,2579.0067398826786,874.8945598258578,1140.5058277825142,904.760502297544,3955.3496395661296,787.1852817566262
stroma_ad_dysplasia_FA_HN11A_3_t.csv,5481.969332125795,4597.401598156249,5644.977138724429,0.0,1737.9797930753923,2152.958574107686,5700.594553069466,4954.198128224,6368.169648045456,5409.036884076027,6574.201701934754,5147.407118721436,6179.317203300344,5147.407118721436,5628.974690018045,6107.857106420175,5888.0294029950055,3477.0805049443466,6574.201701934754,5305.270612905305,2480.7025143697897,5777.581191042197,5741.692714186144,5305.270612905305,6142.705843034252,6107.857106420175,2480.7025143697897,6294.766956492547,3868.7310058293865,6492.185687397011,1737.9797930753923,4801.402336659877,3868.7310058293865,5811.494078354688,6634.727255330378,6056.057134978124,5924.468272650917,6056.057134978124,5504.046819164283,6492.185687397011,5644.977138724431,5644.977138724431,6303.163422757972,5924.468272650917,3477.0805049443466,6241.068687883765,4996.240629710561,4801.402336659877,5305.270612905305,5896.201930637423,6235.9519452864115,4881.8281177490535,6235.9519452864115,6511.635884897433,6634.727255330378,3999.9568714517227,5888.0294029950055,5628.974690018045,6728.194808110027,2152.958574107686,5640.208563678179,2480.7025143697897,6368.169648045456,5705.426230055059,2152.958574107686,6303.163422757972,5504.046819164283,5896.201930637423,6285.7864598516335,5924.468272650917,6142.705843034252,0.0,3999.9568714517227,5811.494078354688,1737.9797930753923,5700.594553069466,6728.194808110027,5724.944565942079,2018.1379324171282,3477.0805049443466,6107.857106420175,6634.727255330378,5888.0294029950055,4801.402336659877,5777.581191042197,4954.198128224,5640.208563678179,3999.9568714517227,2018.1379324171282,5980.838393734021,6235.9519452864115,5481.9693321257955,6080.46406204554,6080.46406204554,5705.426230055059,5409.036884076027,6241.068687883765,6285.7864598516335,5980.838393734021,5741.692714186144,6368.169648045456,5481.9693321257955,6285.7864598516335,4597.401598156248,4881.8281177490535,5147.407118721436,4996.240629710561,6492.185687397011,6303.163422757972,0.0,6728.194808110027,6241.068687883765,5640.208563678179,6056.057134978124,5724.944565942079,5705.426230055059,5409.036884076027,6511.635884897433,3868.7310058293865,4597.401598156248,5700.594553069466,5724.944565942079,6179.317203300344,5741.692714186144,5628.974690018045,6294.766956492547,5896.201930637423,6574.201701934754,6179.317203300344,4996.240629710561,4996.240629710561,6080.46406204554,5777.581191042197,5811.494078354688,5504.046819164283,6511.635884897433,5980.838393734021,6294.766956492547,6142.705843034252,4881.8281177490535,2018.1379324171282,4954.198128224
filtrado_stroma_ad_dysplasia_FA_HN11A_4_t.csv,7111.50981051959,6319.792973844303,7280.917309193705,1737.9797930753923,0.0,1095.086433718366,6917.642116886161,6604.991735836308,7462.634639309362,6941.794983781224,7945.681930058472,6794.228008740632,7772.558499384758,6794.228008740632,6671.395144436549,7724.031584909637,6938.9158842558345,5191.80724179862,7945.681930058472,6846.348830557511,4170.977350003652,6784.586560926858,7207.902781502716,6846.348830557511,7623.468284075201,7724.031584909637,4170.977350003652,7845.107481424127,5538.884861086153,7778.356614703181,0.0,6472.813245217054,5538.884861086153,6824.251631139041,7731.3285407942985,7120.986998829035,7281.316895314422,7120.986998829035,6459.557773926138,7778.356614703181,7280.917309193704,7280.917309193704,7377.26863256959,7281.316895314422,5191.80724179862,7241.221131702975,6572.171097074508,6472.813245217054,6846.348830557511,7162.933690154748,7611.929915750142,6536.188565783762,7611.929915750142,7746.069235376594,7731.3285407942985,5691.341000832914,6938.9158842558345,6671.395144436549,8047.607140939528,1095.086433718366,6639.8833298415875,4170.977350003652,7462.634639309362,7006.019959664647,1095.086433718366,7377.26863256959,6459.557773926138,7162.933690154748,7380.417930252982,7281.316895314422,7623.468284075201,1737.9797930753925,5691.341000832914,6824.251631139041,0.0,6917.642116886161,8047.607140939528,7120.030852815396,3730.705997699492,5191.80724179862,7724.031584909637,7731.3285407942985,6938.9158842558345,6472.813245217054,6784.586560926858,6604.991735836308,6639.8833298415875,5691.341000832914,3730.705997699492,7026.485984234443,7611.929915750142,7111.5098105195875,7054.822112123958,7054.822112123958,7006.019959664647,6941.794983781224,7241.221131702975,7380.417930252982,7026.485984234443,7207.902781502716,7462.634639309362,7111.5098105195875,7380.417930252982,6319.792973844307,6536.188565783762,6794.228008740632,6572.171097074508,7778.356614703181,7377.26863256959,1737.9797930753925,8047.607140939528,7241.221131702975,6639.8833298415875,7120.986998829035,7120.030852815396,7006.019959664647,6941.794983781224,7746.069235376594,5538.884861086153,6319.792973844307,6917.642116886161,7120.030852815396,7772.558499384758,7207.902781502716,6671.395144436549,7845.107481424127,7162.933690154748,7945.681930058472,7772.558499384758,6572.171097074508,6572.171097074508,7054.822112123958,6784.586560926858,6824.251631139041,6459.557773926138,7746.069235376594,7026.485984234443,7845.107481424127,7623.468284075201,6536.188565783762,3730.705997699492,6604.991735836308
filtrado_dysplasia_FA_HN11A_1_t.csv,7445.630229148139,6630.235200249101,7625.288804941699,2152.958574107686,1095.086433718366,0.0,7328.510560523522,6944.550282663371,7927.5045819055,7337.4329565645385,8328.537313268645,7171.087322548484,8121.470226908719,7171.087322548484,7228.422978851523,8062.619586862549,7461.338618689917,5481.052238806637,8328.537313268645,7202.338837317414,4225.108741467497,7359.564794726487,7573.260559447853,7202.338837317414,7990.557329016505,8062.619586862549,4225.108741467497,8200.544014390303,5862.819732239699,8167.708584831887,1095.086433718368,6826.526511255816,5862.819732239699,7462.401698198277,8196.75998099837,7628.191763557478,7685.062841423707,7628.191763557478,7161.126671610369,8167.708584831887,7625.288804941699,7625.288804941699,7862.972927344255,7685.062841423707,5481.052238806637,7814.031611257817,6940.40436499691,6826.526511255816,7202.338837317414,7561.116752791808,7988.554230093327,6878.726234873182,7988.554230093327,8144.205218292106,8196.75998099837,6056.449204174294,7461.338618689917,7228.422978851523,8437.662305341632,0.0,7298.921911334477,4225.108741467497,7927.5045819055,7417.767291318258,0.0,7862.972927344255,7161.126671610369,7561.116752791808,7848.547191569952,7685.062841423707,7990.557329016505,2152.958574107687,6056.449204174294,7462.401698198277,1095.086433718368,7328.510560523522,8437.662305341632,7504.133843955832,3987.9263896612692,5481.052238806637,8062.619586862549,8196.75998099837,7461.338618689917,6826.526511255816,7359.564794726487,6944.550282663371,7298.921911334477,6056.449204174294,3987.9263896612692,7552.984430284565,7988.554230093327,7445.630229148143,7662.416193113752,7662.416193113752,7417.767291318258,7337.4329565645385,7814.031611257817,7848.547191569952,7552.984430284565,7573.260559447853,7927.5045819055,7445.630229148143,7848.547191569952,6630.235200249106,6878.726234873182,7171.087322548484,6940.40436499691,8167.708584831887,7862.972927344255,2152.958574107687,8437.662305341632,7814.031611257817,7298.921911334477,7628.191763557478,7504.133843955832,7417.767291318258,7337.4329565645385,8144.205218292106,5862.819732239699,6630.235200249106,7328.510560523522,7504.133843955832,8121.470226908719,7573.260559447853,7228.422978851523,8200.544014390303,7561.116752791808,8328.537313268645,8121.470226908719,6940.40436499691,6940.40436499691,7662.416193113752,7359.564794726487,7462.401698198277,7161.126671610369,8144.205218292106,7552.984430284565,8200.544014390303,7990.557329016505,6878.726234873182,3987.9263896612692,6944.550282663371
dysplasia_FA_HN14_2_t.csv,2047.0395794983176,3317.422220350277,1962.0705411982335,5700.594553069466,6917.642116886161,7328.510560523522,0.0,2264.0298467078205,929.9680983127861,1948.3009531362572,1394.1550268211631,2446.677555946446,2071.927553019369,2446.677555946446,732.0089692058054,2023.92647595215,777.8668838765622,3968.2087622218028,1394.1550268211631,1453.6389329010617,4011.968367291059,682.7484908846588,1401.3280452694162,1453.6389329010617,1934.7005237495075,2023.92647595215,4011.968367291059,2230.702577184413,2708.5683124488223,1112.790079294563,6917.642116886159,2487.135579085369,2708.5683124488223,933.4638394933665,1127.986775046817,792.0196224921572,754.3810532674388,792.0196224921572,725.2442722975787,1112.790079294563,1962.0705411982337,1962.0705411982337,891.0127328442827,754.3810532674388,3968.2087622218028,894.9811312063447,1473.5881583641178,2487.135579085369,1453.6389329010617,449.5259517924061,1367.4534939429645,2303.7103803114005,1367.4534939429645,1009.2771571543738,1127.986775046817,3099.79055451455,777.8668838765622,732.0089692058054,1453.2664543407013,7328.51056052352,649.4932940551727,4011.968367291059,929.9680983127861,540.4875946209859,7328.51056052352,891.0127328442827,725.2442722975787,449.5259517924061,788.226181396928,754.3810532674388,1934.7005237495075,5700.594553069464,3099.79055451455,933.4638394933665,6917.642116886159,0.0,1453.2664543407013,1336.1800689149482,4673.2540070031155,3968.2087622218028,2023.92647595215,1127.986775046817,777.8668838765622,2487.135579085369,682.7484908846588,2264.0298467078205,649.4932940551727,3099.79055451455,4673.2540070031155,760.3680268715029,1367.4534939429645,2047.0395794983174,856.626523978071,856.626523978071,540.4875946209859,1948.3009531362572,894.9811312063447,788.226181396928,760.3680268715029,1401.3280452694162,929.9680983127861,2047.0395794983174,788.226181396928,3317.422220350276,2303.7103803114005,2446.677555946446,1473.5881583641178,1112.790079294563,891.0127328442827,5700.594553069464,1453.2664543407013,894.9811312063447,649.4932940551727,792.0196224921572,1336.1800689149482,540.4875946209859,1948.3009531362572,1009.2771571543738,2708.5683124488223,3317.422220350276,0.0,1336.1800689149482,2071.927553019369,1401.3280452694162,732.0089692058054,2230.702577184413,449.5259517924061,1394.1550268211631,2071.927553019369,1473.5881583641178,1473.5881583641178,856.626523978071,682.7484908846588,933.4638394933665,725.2442722975787,1009.2771571543738,760.3680268715029,2230.702577184413,1934.7005237495075,2303.7103803114005,4673.2540070031155,2264.0298467078205
filtrado_stroma_ad_carcinoma_FA_HN14_3_t.csv,735.7327280291097,1226.5295111798036,787.1852817566262,4954.198128224,6604.991735836308,6944.550282663371,2264.0298467078205,0.0,3075.6007001637195,938.1021740620707,2396.3642134837696,482.01069108454635,1453.8645643319185,482.01069108454635,2722.2823562391686,1317.0327251423248,2851.8083953490836,2007.2871118477847,2396.3642134837696,1024.7621821729517,3021.0583875903617,2798.1695585684975,1518.5210687832714,1024.7621821729517,1792.7501697550472,1317.0327251423248,3021.0583875903617,1552.7630813539713,1171.4190035448485,2601.9127934383114,6604.991735836306,446.5621343028308,1171.4190035448485,2943.516551953453,3251.187807479687,2949.70038343085,1920.944881881634,2949.70038343085,2641.170791165151,2601.9127934383114,787.1852817566257,787.1852817566257,3057.1092133055754,1920.944881881634,2007.2871118477847,3070.063547728106,1006.3231176103914,446.5621343028308,1024.7621821729517,2289.6102998226243,2295.8306294644044,312.1627440684482,2295.8306294644044,2876.447913487428,3251.187807479687,1265.933041541013,2851.8083953490836,2722.2823562391686,2526.124142997512,6944.550282663373,2732.321463981696,3021.0583875903617,3075.6007001637195,2184.623695487666,6944.550282663373,3057.1092133055754,2641.170791165151,2289.6102998226243,2997.901100841849,1920.944881881634,1792.7501697550472,4954.198128224003,1265.933041541013,2943.516551953453,6604.991735836306,2264.0298467078205,2526.124142997512,1753.3255515031256,3222.9927458271536,2007.2871118477847,1317.0327251423248,3251.187807479687,2851.8083953490836,446.5621343028308,2798.1695585684975,0.0,2732.321463981696,1265.933041541013,3222.9927458271536,2897.877227281136,2295.8306294644044,735.7327280291092,3015.3046491227933,3015.3046491227933,2184.623695487666,938.1021740620707,3070.063547728106,2997.901100841849,2897.877227281136,1518.5210687832714,3075.6007001637195,735.7327280291092,2997.901100841849,1226.529511179804,312.1627440684482,482.01069108454635,1006.3231176103914,2601.9127934383114,3057.1092133055754,4954.198128224003,2526.124142997512,3070.063547728106,2732.321463981696,2949.70038343085,1753.3255515031256,2184.623695487666,938.1021740620707,2876.447913487428,1171.4190035448485,1226.529511179804,2264.0298467078205,1753.3255515031256,1453.8645643319185,1518.5210687832714,2722.2823562391686,1552.7630813539713,2289.6102998226243,2396.3642134837696,1453.8645643319185,1006.3231176103914,1006.3231176103914,3015.3046491227933,2798.1695585684975,2943.516551953453,2641.170791165151,2876.447913487428,2897.877227281136,1552.7630813539713,1792.7501697550472,312.1627440684482,3222.9927458271536,0.0
