,stroma_ad_dysplasia_FA_HN14_2.csv,carcinoma_FA_HN11A_2.csv,dysplasia_FA_HN15_5.csv,carcinoma_FA_HN11A_4.csv,stroma_ad_carcinoma_FA_HN14_1.csv,stroma_ad_dysplasia_FA_HN14_1.csv,stroma_ad_dysplasia_FA_HN15_3.csv,stroma_ad_dysplasia_FA_HN11A_5.csv,stroma_ad_dysplasia_FA_HN11A_1.csv,dysplasia_FA_HN11A_1.csv,carcinoma_FA_HN14_2.csv,stroma_ad_carcinoma_FA_HN14_3.csv,stroma_ad_dysplasia_FA_HN15_2.csv,stroma_ad_dysplasia_FA_HN11A_3.csv,dysplasia_FA_HN11A_2.csv,dysplasia_FA_HN11A_3.csv,stroma_ad_carcinoma_FA_HN15_3.csv,carcinoma_FA_HN11A_1.csv,stroma_ad_dysplasia_FA_HN15_4.csv,carcinoma_FA_HN14_3.csv,stroma_ad_dysplasia_FA_HN14_4.csv,stroma_ad_carcinoma_FA_HN15_4.csv,stroma_ad_dysplasia_FA_HN11A_4.csv,dysplasia_FA_HN11A_4.csv,carcinoma_FA_HN14_4.csv,dysplasia_FA_HN11A_5.csv,dysplasia_FA_HN15_4.csv,dysplasia_FA_HN15_2.csv,dysplasia_FA_HN15_1.csv,dysplasia_FA_HN15_3.csv,carcinoma_FA_HN15_2.csv,stroma_ad_dysplasia_FA_HN14_3.csv,stroma_ad_carcinoma_FA_HN14_5.csv,carcinoma_FA_HN11A_5.csv,stroma_ad_dysplasia_FA_HN11A_2.csv,dysplasia_FA_HN14_1.csv,stroma_ad_carcinoma_FA_HN11A_2.csv,carcinoma_FA_HN15_3.csv,carcinoma_FA_HN11A_3.csv,stroma_ad_dysplasia_FA_HN15_5.csv,stroma_ad_carcinoma_FA_HN11A_1.csv,carcinoma_FA_HN14_1.csv,stroma_ad_dysplasia_FA_HN15_1.csv,stroma_ad_carcinoma_FA_HN14_4.csv,stroma_ad_carcinoma_FA_HN15_1.csv,stroma_ad_carcinoma_FA_HN14_2.csv,carcinoma_FA_HN15_1.csv,stroma_ad_carcinoma_FA_HN15_2.csv
stroma_ad_dysplasia_FA_HN14_2.csv,0.0,794.2652390536282,1040.4164622709761,1004.306788331131,1091.9578802257213,643.8928207819274,1214.1891900515352,673.0528074791919,697.440544783519,860.0499515510355,1328.5563179352562,1046.893317067227,606.7958125723825,897.6414445299374,803.1220190723142,1327.77162349426,781.3441165265455,1008.4951636623625,442.850054869985,1031.0620718051193,618.831891102027,788.5333073414381,996.140801029511,1202.4870655332015,975.4789488634611,1004.6428620667612,inf,1270.9260959088601,1321.1507391616178,2218.3105497115143,1412.8435481059187,1497.8348316145298,988.9894761499622,823.2372095645106,610.0011798166004,1195.0172370072241,673.1390581301171,inf,1114.7510157039019,844.4611085522115,673.7675247146454,999.9762845780733,553.2131833938325,823.7571609708358,956.8098796865502,1071.7139487561312,1464.8612398130406,1241.9602196901074
carcinoma_FA_HN11A_2.csv,794.2652390536282,0.0,579.8807151853679,605.5839223200084,1458.0575022735657,685.8729420200266,1335.28334318645,1053.7599446086076,655.95814263705,1059.335593772695,840.5818766438802,1419.404139954728,581.8939973561933,1185.7266673993447,508.04183271132484,1135.6387174724614,931.6587854071488,673.4306992236698,795.5614839738257,1051.2461551773408,1184.380050433451,806.1320603835834,1336.0129695682142,776.4067954328124,715.9125194794814,726.3491437180403,inf,810.5898996748776,884.4021596438678,2167.2160700508402,1177.1355797137612,1753.2795308421428,1278.0813340298298,500.20802469636004,834.557956645441,1261.0772193931386,503.18853092630957,inf,683.2685661787051,1276.1330409777568,791.199448135587,899.9384377210916,806.7320023142227,1060.4049523487101,708.1045775097732,1491.517301074302,1305.8374492152686,1192.9259620772848
dysplasia_FA_HN15_5.csv,1040.4164622709761,579.8807151853679,0.0,459.1146675575477,1733.8155175451316,914.7515405283013,1525.138001827559,1314.8426255730694,769.4152017216511,1237.2589316128235,574.6240749000509,1695.0846297021099,788.7141306622457,1438.157840827026,612.3851216071232,1175.3025434409687,1196.2392509635258,600.201899266617,1083.041094520536,1144.4901635492347,1453.716377700869,1035.1060462044306,1606.0169434869404,646.5654160494255,708.7254112035154,770.030250311436,inf,663.1431278750949,656.1620390718916,2246.5460218456938,1194.9285376193898,1939.8899104739776,1509.9213284037396,502.03253847747874,1060.799661210296,1452.4248233704373,677.4744398045298,inf,463.30216939687256,1566.8606850361487,999.5123008021999,913.2869729651686,1084.170956926642,1284.230339866825,726.4531037658056,1769.917262787101,1391.7412078166726,1339.7230256285866
carcinoma_FA_HN11A_4.csv,1004.306788331131,605.5839223200084,459.1146675575477,0.0,1599.3459720229032,797.5138471602545,1648.4398980201217,1150.693168199888,668.170525421184,1097.7941372417997,714.8594603431171,1534.80060478642,764.4224065136879,1302.5866655449968,600.3871770023255,1355.9626272726337,1276.7160471701127,470.24406516438177,1017.9202068872448,1000.1316060763795,1391.8026862319716,1105.762004594615,1456.6885949508128,796.9822337854125,532.5371742120419,912.4266848260303,inf,849.1449536640312,822.5588916142467,2461.793772584683,1400.5281246492957,2055.0095859078074,1376.7076462329487,530.4728859938934,925.226975950218,1581.8860511497526,723.176277605084,inf,590.640923372755,1438.6209529766768,861.4318366273844,768.3841757291934,984.1813653442942,1125.097644605567,848.8888461978703,1617.2247307586297,1579.134706715822,1511.2990750040628
stroma_ad_carcinoma_FA_HN14_1.csv,1091.9578802257213,1458.0575022735657,1733.8155175451316,1599.3459720229032,0.0,1035.2207276709005,2026.9132339108505,714.8139194659836,1165.2010926718003,834.3468008390128,2062.586763865371,362.2318692908484,1325.617509818208,531.056135203341,1380.0139126734043,2236.6928786567896,1575.7200265046386,1415.4715286789124,1017.4081287367875,1107.1487705351487,1005.4372812054394,1566.4526485763126,380.2465344168699,1988.7269578173089,1329.8614076368015,1855.6465488668846,inf,2096.028837866703,2139.8693658005395,3085.018073420286,2308.293981342688,2261.752274832145,544.3071948431557,1460.0953861127143,842.6759137819545,2062.626766309713,1423.0081003039156,inf,1854.4710511006901,550.2422946266493,925.9170871991607,1231.1585871959428,814.9973582187824,658.0847249189516,1806.8791829973866,373.905533737814,2368.1505802339448,2124.135133425898
stroma_ad_dysplasia_FA_HN14_1.csv,643.8928207819274,685.8729420200266,914.7515405283013,797.5138471602545,1035.2207276709005,0.0,1523.0030208253543,662.3720008477371,516.1998414922944,606.8458068483297,1247.041668242301,1009.2386432311661,591.9638375960085,745.4865810848706,649.993459008872,1498.196924732387,1023.9687527955098,691.6193862388127,669.6806173155283,757.7740221018629,949.1150117513104,899.1412832287411,916.625246730265,1197.7885412337532,652.7463472820056,1057.7657431294808,inf,1279.3010091115596,1295.4417765147425,2508.9977918612713,1593.7947641429678,1870.1685663490325,804.562990251749,642.4917938025137,537.2735441507201,1497.5378369142916,729.920575965264,inf,990.7359586396342,939.9264584312265,564.6328102617375,683.6552696261912,516.0890504117936,636.4910837703671,972.4780133813805,1073.1026342635514,1665.0866851159287,1492.2182545380767
stroma_ad_dysplasia_FA_HN15_3.csv,1214.1891900515352,1335.28334318645,1525.138001827559,1648.4398980201217,2026.9132339108505,1523.0030208253543,0.0,1682.587344032675,1582.5422003108674,1832.2052543057966,1681.218569063682,2010.0944741501266,1240.4823841152324,1878.2442789982538,1471.753384062754,819.6001258084884,799.2002846417367,1728.5430108784958,1264.2141104754785,1982.570652731983,1317.5026190511667,918.8358732244487,1967.04089874049,1350.924813689238,1782.166801608667,1075.1371735222183,inf,1408.349697492712,1611.476142740202,1289.0366032657269,976.7678823420001,727.3301392210511,1936.0374955981536,1454.8062913832664,1619.913441505802,694.1333846728729,1182.3997443806675,inf,1583.1774400369802,1769.4222785787779,1642.5908350199452,1881.8112801749658,1498.1364258142141,1850.5205690789883,1045.1390302074558,2038.6406398423117,853.2132032527019,713.3052151915471
stroma_ad_dysplasia_FA_HN11A_5.csv,673.0528074791919,1053.7599446086076,1314.8426255730694,1150.693168199888,714.8139194659836,662.3720008477371,1682.587344032675,0.0,779.473696886249,564.3281068114954,1632.2647161219754,654.3468138046109,904.3272717070348,544.5542782063151,978.5284954744545,1808.2714651369183,1195.0756383518228,1044.1846975056226,700.9026952486812,809.0548512932988,753.0759488681323,1179.5890027299301,610.2233711850844,1584.0227386007807,970.6792642938467,1409.7453265573624,inf,1671.8905857278714,1699.8058629726006,2725.697483515138,1923.5349680987667,1948.024349287744,527.4685285661373,1055.6856120284006,447.08848448906997,1693.3567160704642,1045.7580206412827,inf,1412.3073200781369,570.0453376081887,561.8156527438302,915.9237330746985,508.30500593425774,503.057252258489,1353.2390721045037,654.4237723336065,1986.3826434307325,1733.1378603777002
stroma_ad_dysplasia_FA_HN11A_1.csv,697.440544783519,655.95814263705,769.4152017216511,668.170525421184,1165.2010926718003,516.1998414922944,1582.5422003108674,779.473696886249,0.0,664.2570532826355,1076.1194016311822,1118.6498567642404,583.1885627392237,855.6278246699297,520.0717277472387,1528.1652925902029,1095.9777513090282,544.7892577674127,723.304767749226,645.2468010345149,1065.4663435979487,953.0789132127271,1040.5830813264536,1084.8758437845281,518.4828309196521,967.9138029972607,inf,1173.2706501959788,1192.4855395670352,2553.2180090480997,1588.3318286788824,1904.168297618051,929.2753853213549,531.8311316567169,536.0378818936005,1532.1327235756858,699.9146438031129,inf,862.8941171343362,1030.9664850893912,465.4866095102242,541.655736371078,639.8782336257256,713.756844908464,952.2492281368783,1197.9282940208225,1685.9666279112776,1522.771878459841
dysplasia_FA_HN11A_1.csv,860.0499515510355,1059.335593772695,1237.2589316128235,1097.7941372417997,834.3468008390128,606.8458068483297,1832.2052543057966,564.3281068114954,664.2570532826355,0.0,1551.554187709789,770.2174105635847,880.3466025554794,553.2343660750008,885.1599601469895,1876.0448151264063,1324.9289723339348,863.7235225402991,908.0216393852699,529.2341390754033,1053.691833971177,1192.8964805172766,691.4202217568073,1544.5374848311367,777.6391333439052,1385.2469546966274,inf,1625.2300959773963,1640.5297184877845,2853.4303945035326,1973.224461152991,2109.657305847731,507.0743341368369,939.4807704199885,549.6314401711354,1801.5369598582074,1100.9025573080487,inf,1280.9810710973854,870.8550065252667,488.1049733306555,625.6785526359597,631.2119193769835,474.89483159411384,1348.4788924598702,853.0542302990223,2049.513677271815,1849.1593318975881
